incarnation_lineages_id (PK),BDRC R ID,TOL R ID,Incarnation Name,Tradition 1,Tradition ID 1,Tradition 2,Tradition ID 2,Wylie,Tibetan,Chinese,BDRC G ID,TOL G ID,description
35,R8LS13065,35,Kondor,Geluk,27,,,dkon rdor,དཀོན་རྡོར།,,G180,TOLG237,"<p>
	The Kondor line is a Geluk incarnation line dating from the sixteenth century and based at <a href=""/geographies/view/Chamdo-Jampaling/TBRC_G180"">Chamdo Jampaling</a>. It originated when the Second Kondor Tulku, <a href=""/biographies/view/Jewon-Konchok-Dorje/TBRC_P2AG8"">Jewon Konchok Dorje</a>, was identified as the reincarnation of <a href=""http://beta.treasuryoflives.org/biographies/view/Khedrub-Sh%C4%81kya-Lhawang/TBRC_P5580"">Khedrub Shākya Lhawang</a>, an abbot of Tashi Pende Monastery in Nyangpo. The Kondor line has had strong connections -- and often blood relations -- with the <a href=""http://beta.treasuryoflives.org/incarnation/view/Zhiwa-Lha/TBRC_R8LS12813"">Zhiwa Lha</a> and <a href=""http://beta.treasuryoflives.org/incarnation/view/Pakpa-Lha/TBRC_R8LS12860"">Pakpa Lha</a> lines, the presiding lamas of Chamdo Jampaling.</p>
"
36,,36,Ling,Geluk,27,,,gling,གླིང་།,,G126,TOLG355,"<p>
	The Ling incarnation is a very important Geluk incarnation line dating from the mid-17th century. The Ling lamas have traditionally served as tutors of the Dalai Lamas. The First Ling was the Forty Eighth Ganden Tripa, and the line has a seat at&nbsp;<a href=""/geographies/view/Loseling-college/TBRC_G126"">Loseling college</a>&nbsp;of Drepung monastery in Lhasa.</p>
"
37,R8LS13219,37,Lingla,Nyingma,1,,,gling bla,གླིང་བླ།,,G16,TOLG12,"<p>
	The Lingla is an incarnation line based at <a href=""/geographies/view/Dzogchen-monastery/TBRC_G16"">Dzogchen Monastery</a> in Kham. The <a href=""/biographies/view/Fourth-Dzogchen-Drubwang/TBRC_p1710"">Fourth Dzogchen Drubwang</a> established the line in the nineteenth century when he recognized <a href=""/biographies/view/Tubten-Nyinje-Gyeltsen/TBRC_P8687"">Tubten Nyinje Gyeltsen</a> as the reincarnation of <a href=""/biographies/view/Ling-Drubtob-Sonam-Jinpa/TBRC_p8701"">Ling Drubtob Sonam Jinpa</a>, posthumously known as the First Lingla.</p>
"
38,R8LS12777,38,Lingtrul,Geluk,27,,,gling sprul,གླིང་སྤྲུལ།,,G162,TOLG41,"<p>
	The Lingtrul lamas are a Geluk line with their seat at&nbsp;<a href=""/geographies/view/-Labrang-Tashikyil/TBRC_G162"">Labrang Tashikyil</a>. The&nbsp;<a href=""/biographies/view/Second-Jamyang-Zhepa/TBRC_P169"">Second Jamyang Zhepa</a>&nbsp;established the line in the late 18th century when he recognized&nbsp;<a href=""/biographies/view/Konchok-Gepai-Lodro/TBRC_P3558"">Konchok Gepai Lodro</a>&nbsp;as the reincarnation of the First Lingtrul,&nbsp;<a href=""/biographies/view/Ling-Dondrub-Gyatso/TBRC_P5537"">Ling Dondrub Gyatso</a>, a throneholder of Labrang. Dondrub Gyatso was from the Lingmo clan from whence the title is derived.</p>
"
39,R8LS13163,39,Moktsa,Nyingma,1,,,rmog rtsa,རྨོག་རྩ།,,G17,TOLG9,"<p>
	The Moktsa incarnations are based at <a href=""/geographies/view/Katok-Dorjeden/TBRC_G17"">Katok Dorjeden</a>, a major Nyingma monastery in Kham. Most sources list <a href=""/biographies/view/Rigdzin-Namkha-Chowang/TBRC_P5980"">Rigdzin Namkha Chowang</a> as the First Moktsa and have the treasure revealer <a href=""/biographies/view/Namcho-Mingyur-Dorje/TBRC_P659"">Namcho Mingyur Dorje</a> as a pre-incarnation of Namkha Chowang, but some identify Mingyur Dorje as the First, and Namkha Chowang as the Second.</p>
"
40,R8LS13132,40,Ngago,Geluk,27,,,rnga rgod,རྔ་རྒོད།,,G160; G301; G162,"TOL40, TOL361, TOL41","<p>
	A Geluk incarnation line. The <a href=""/biographies/view/Second-Ngago-Namkha-Sengge/TBRC_P1152"">Second Ngago Namkha Sengge</a> founded <a href=""/geographies/view/Amchok/TBRC_G393"">Amchok</a> monastery, a Geluk institution in Amdo, at the command of the Second Jamyang Zhepa. <a href=""/geographies/view/Kumbum/TBRC_G160"">Kumbum</a>, <a href=""/geographies/view/Shitsang/TBRC_G301"">Shitsang</a> and <a href=""/geographies/view/Labrang/TBRC_G162"">Labrang</a> monasteries have served as the seat of the Ngago incarnations.</p>
"
41,R8LS12858,41,Nyendrak,Geluk,27,,,snyan grags,སྙན་གྲགས།,,G162,TOLG41,"<p>
	A Geluk incarnation line dating from the early 18th century with a seat at <a href=""/geographies/view/Labrang/TBRC_G162"">Labrang</a> monastery in Amdo. <a href=""/biographies/view/Lobzang-Nyendrak/TBRC_P4122"">Lobzang Nyendrak</a>, posthumously known as the First Nyendrak, served as the thirteenth throne holder of Labrang Tashikhyil. He was a Tibetanized Mongor who trained at Labrang and <a href=""/geographies/view/Sera/TBRC_G154"">Sera</a>, and was the first to earn a Doram degree at Labrang in the new educational system there.</p>
"
42,R8LS13252,42,Nyingon Choktrul,Nyingma,1,,,nyin dgon mchog sprul ,ཉིན་དགོན་མཆོག་སྤྲུལ།,,G516; G17,"2726, TOL9       ","<p>
	The Nyingon Choktrul incarnations were masters of the Katok branch of the Nyingma tradition with seats at both <a href=""/geographies/view/Katok-Dorjeden/TBRC_G17"">Katok Dorjeden</a> and <a href=""http://beta.treasuryoflives.org/geographies/view/Nyingon-Monastery/TBRC_G516"">Nyingon Monastery</a>. The line originated when the <a href=""/biographies/view/First-Drime-Zhingkyong/TBRC_P5972"">First Drime Zhingkyong</a> identified a boy, <a href=""/biographies/view/Jangchub-Dorje/TBRC_P6040"">Jangchub Dorje</a>, as the reincarnation of a lama named Sanggye Tashi who had resided at Nyingon Monastery and had served at Katok during the crucial period of transition and revival.</p>
"
43,R8LS12860,43,Pakpa Lha,Geluk,27,,,phags pa lha,ཕགས་པ་ལྷ།,,G180,TOLG237,"<p>
	The Pakpa Lha incarnation line dates to the fifteenth century when <a href=""/biographies/view/Dechen-Dorje/TBRC_P427"">Dechen Dorje</a> declared himself, at age eight, to be Āryadeva. He became known as the First Pakpa Lha. The seat of the lineage is at the Geluk monastery <a href=""/geographies/view/Chamdo-Jampa-Ling/TBRC_G180"">Chamdo Jampa Ling</a>.</p>
"
44,R10MS14279,44,Paṇchen Lama,Geluk,27,,,paN chen bla ma ,"པཎ་ཆེན་བླ་མ།
",班禅额尔德尼,G104,TOLG39,"<p>
	The Paṇchen Lama incarnation line began in the seventeenth century when&nbsp;<a href=""/biographies/view/Chokyi-Gyeltsen/TBRC_P719"">Chokyi Gyeltsen</a>, the sixteenth abbot of&nbsp;<a href=""/geographies/view/Tashi-Lhunpo-Monastery/TBRC_G104"">Tashilhunpo Monastery</a>, was given the title by the&nbsp;<a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_P37"">Fifth Dalai Lama</a>, who declared him an emanation of Amitābha. The Geluk scholar <a href=""/biographies/view/Tukwan-Lobzang-Chokyi-Nyima/TBRC_P170"">Tukwan Lobzang Chokyi Nyima</a>&#39;s Crystal Mirror identifies numerous pre-incarnations including <a href=""/biographies/view/Padmasambhava/TBRC_P4956"">Padmasambhava</a>, <a href=""/biographies/view/Atiśa/TBRC_P3379"">Atiśa</a>, <a href=""/biographies/view/Gampopa/TBRC_P1844"">Gampopa</a>, <a href=""/biographies/view/Go-Khukpa-Lhetse/TBRC_P3458"">Go Khukpa Lhetse</a>, <a href=""/biographies/view/Sakya-Pandita/TBRC_P1056"">Sakya Paṇḍita</a>, and <a href=""/biographies/view/Yungton-Dorje-Pel/TBRC_P1454"">Yungton Dorje Pel</a>. Two separate systems of enumeration exist for this lineage. According to the system of Tashilhunpo Monastery, the seat of the line, three previous lamas, identified as Chokyi Gyeltsen&#39;s previous incarnations, are identified as the First through Third Paṇchen Lamas:&nbsp;<a href=""/biographies/view/Khedrubje-Gelek-Pelzang/TBRC_P55"">Khedrubje Gelek Pelzang</a>, one of <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a>&#39;s primary disciples,&nbsp;<a href=""/biographies/view/Sonam-Chokyi-Langpo/TBRC_P4211"">Sonam Chokyi Langpo</a>, and <a href=""/biographies/view/Wensapa-Lobzang-Dondrub/TBRC_P997"">Wensapa Lobzang Dondrub</a>. According to the system of Ganden Podrang,&nbsp;Chokyi Gyeltsen&nbsp;is considered the First Paṇchen and the line starts with him. For this reason&nbsp;Chokyi Gyeltsen&nbsp;is either listed as the First or the Fourth Paṇchen Lama. The Eleventh Paṇchen Lama, Gendun Chokyi Nyima, recognized by the Fourteenth Dalai Lama in 1995, has not been seen in public since then, while another child, Gyeltsen Norbu was soon after installed as Eleventh Paṇchen Lama by the Chinese government.</p>
"
45,R8LS12784,45,Pawo,Karma Kagyu,24,,,gnas nang dpa' bo ,གནས་ནང་དཔའ་བོ།,,G194; G3429,"TOL331, TOL15","<p>
	The Pawo incarnation line began with the fifteenth century&nbsp;<a href=""/biographies/view/Chowang-Lhundrub/TBRC_P818"">Chowang Lhundrub</a>, posthumously identified as the First Pawo. The&nbsp;<a href=""/biographies/view/Second-Pawo,-Tsuklak-Trengwa/TBRC_P319"">Second Pawo, Tsuklak Trengwa</a>, was a prominent sixteenth-century Kagyu scholar whose history of the Karma Kagyu tradition, the&nbsp;<em>Chojung</em>&nbsp;<em>Khepai Gaton,&nbsp;</em>or&nbsp;<em>Scholar&#39;s Feast,&nbsp;</em>is still read today. He was based at&nbsp;<a href=""/geographies/view/Sekhar-Gutok/TBRC_G3429"">Sekhar Gutok</a>&nbsp;monastery, at the time a Kagyu monastery, which became one of the seats of the line, together with <a href=""/geographies/view/Lhalung-Monastery/TBRC_G389"">Lhalung Monastery</a>. After Sekhar Gutok was converted to the Geluk tradition in the seventeenth century, the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_P37"">Fifth Dalai Lama</a> gave the <a href=""/biographies/view/Fifth-Pawo,-Tsuklak-Trinle-Gyatso/TBRC_P942"">Fifth Pawo, Tsuklak Trinle Gyatso</a> <a href=""/geographies/view/Nenang-Monastery/TBRC_G194"">Nenang Monastery</a>, which he had confiscated from the <a href=""/biographies/view/Seventh-Zhamar/TBRC_P1386"">Seventh Zhamar</a>. Since that time the incarnation line has also been known as the Nenang Pawo.</p>
"
46,R8LS12890,46,Peling Tukse,Nyingma,1,,,pad+gling thugs sras,པདྒལིང་ཐུགས་སྲས།,,,,"<p>
	The Peling Tukse incarnation line, associated with Bhutan and Lhalung in southern Tibet, dates back to around the sixteenth century. This lineage is named for <a href=""/biographies/view/Dawa-Gyelsten/TBRC_P2652"">Dawa Gyelsten</a>, the son of influential Nyingma treasure revealer Pema Lingpa. It is one of three primary incarnation lines of <a href=""/biographies/view/Pema-Lingpa/TBRC_P1693"">Pema Lingpa</a>. Dawa Gyeltsen would become known as the First Peling Tukse. The <a href=""/biographies/view/Tenth-Peling-Tukse,-Tekchok-Tenpai-Gyeltsen/TBRC_P2AG33"">Tenth Peling Tukse, Tekchok Tenpai Gyeltsen</a> died in Bhutan in 2010.</p>
"
47,,47,Petseling,Nyingma,1,,,pad tshal gling sprul sku,པད་ཚལ་གླིང་སྤྲུལ་སྐུ།,,G2AG31,TOLG371,"<p>
	The Petseling incarnation line was named for the monastery of the same name located in near Jakar in Bhutan&#39;s Tang valley. <a href=""/geographies/view/Petseling-monastery/TBRC_G2AG31"">Petseling Monastery</a> was founded in the eighteenth century by <a href=""/biographies/view/Jigme-Lingpa/TBRC_P314"">Jigme Lingpa</a>&#39;s student, <a href=""/biographies/view/Drubtob-Namgyel-Lhundrub/TBRC_P2Ag28"">Drubtob Namgyel Lhundrub</a>, who would become known as the First Petseling Tulku.</p>
"
48,R8LS12862,48,Purchok,Geluk,27,,,phur lcog,ཕུར་ལྕོག།,,G156,TOLG294,"<p>
	The Purchok incarnation line is a Geluk lineage that dates to the eighteenth century. The line is named for a small ridge near <a href=""/geographies/view/Sera/TBRC_G154"">Sera</a> called Purchok Ri, where, according to tradition, <a href=""/biographies/view/Padmasambhava/TBRC_P4956"">Padmasambhava</a> meditated. The <a href=""/biographies/view/First-Purchok,-Ngawang-Jampa/TBRC_P108"">First Purchok, Ngawang Jampa</a>, a prominent disciple of the Fifth Panchen Lama, is said to have participated in developing an important hermitage at the site which became known as Purchok or Purbuchok.</p>
"
49,R8LS12816,49,Reting Rinpoche,Geluk,27,,,rwa sgreng,རྭ་སྒྲེང་།,,G74,TOLG327,"<p>
	The Reting incarnation line dates to the eighteenth century when the <a href=""/biographies/view/Second-Reting,-Lobzang-Yeshe-Tenpa-Rabgye/TBRC_P304"">Second Reting, Lobzang Yeshe Tenpa Rabgye</a> was recognized as the reincarnation of <a href=""/biographies/view/Ngawang-Chokden/TBRC_P412"">Ngawang Chokden</a>, the Fifty-fourth Ganden Tripa, who would be posthumously known as the First Reting Rinpoche. The Seventh Dalai Lama gave <a href=""/geographies/view/Reting-Monastery/TBRC_G74"">Reting Monastery</a>, established in 1056 by Dromtonpa as the seat of the Kadampa school, to Trichen Ngawang Chokden upon his retirement; the monastery became the seat of the Reting incarnation line. The Reting tulkus were one of only a few high-ranking incarnation lines empowered to become regent of Tibet during the absence or minority of the Dalai Lamas.</p>
"
50,,50,Riwoche Jedrung,Taklung Kagyu,45,,,ri bo che rje drung,རི་བོ་ཆེ་རྗེ་དྲུང་།,,G70,TOL218,"<p>
	The Riwoche Jedrung incarnation line, also known as the Machen Tulku, dates to the sixteenth century when <a href=""/biographies/view/Second-Riwoche-Jedrung,-Drakpa-Gyeltsen/TBRC_p3ag46"">Drakpa Gyeltsen</a> was recognized as the reincarnation of <a href=""/biographies/view/Tsokye-Dorje/TBRC_p3ag45"">Tsokye Dorje</a>, who became posthumously known as the First Riwoche Jedrung. The seat is at <a href=""/geographies/view/Riwoche-monastery/TBRC_G70"">Riwoche monastery</a>, a major Taklung Kagyu monastery in Kham.</p>
"
51,R8LS13078,51,Rongwo Drubchen,Geluk,27,,,rong po grub chen,རོང་པོ་གྲུབ་ཆེན།,,G163,TOLG374,"<p>
	The Rongwo Drubchen incarnation line dates to the seventeenth century when&nbsp;<a href=""/biographies/view/Ngawang-Trinle-Gyatso/TBRC_P409"">Ngawang Trinle Gyatso</a>&nbsp;was identified as the reincarnation of&nbsp;<a href=""/biographies/view/Shar-Kelden-Gyatso/TBRC_P711"">Shar Kelden Gyatso</a>, who was posthumously named the First Rongwo Drubchen. The seat is at&nbsp;<a href=""/geographies/view/Rongwo-Monastery/TBRC_G163"">Rongwo Monastery</a>&nbsp;in Rebkong, Amdo, where the First Rongwo Drubchen established a Geluk college, and thus converted the institution from Sakya to Geluk. The line is also called the Shar Kelden incarnation line.&nbsp;</p>
"
52,,52,Seri Mani Pandita,Geluk,27,,,gser ri'i ma Ni paNDita ,གསེར་རིའི་མ་ཎི་པཎཌིཏ།,,G160,TOL40,"<p>
	The Seri Maṇi Paṇḍita incarnation line includes the Fourth Seri Maṇi Paṇḍita, Lobzang Dargye, who prophesied his reincarnation in either Amgon or Gyakhar. This caused some confusion and Jigme Rigpai Lodro was sought to finalize the recognition of the Fifth Seri Manipa as&nbsp;<a href=""/biographies/view/Gendun-Tendzin-Gyeltsen/TBRC_P7072"">Gendun Tendzin Gyeltsen</a>&nbsp;at the turn of the twentieth century. Little is know about the previous incarnations of this line, while the Sixth Seri Maṇi Paṇḍita, born in 1945, remained active as of 2008.</p>
"
53,R8LS13066,53,Setsang,Geluk,27,,,bse tshang,བསེ་ཚང་།,,G471,TOLG479,"<p>
	The Setsang incarnation lineage originated with the recognition of&nbsp;<a href=""/biographies/view/Ngawang-Jamyang-Tashi-/TBRC_P3681"">Ngawang Jamyang Tashi&nbsp;</a>as the reincarnation of&nbsp;<a href=""/biographies/view/Ngawang-Tashi/TBRC_P410"">Ngawang Tashi</a>, who was a disciple of the&nbsp;<a href=""/biographies/view/First-Jamyang-Zhepa/TBRC_P423"">First Jamyang Zhepa</a>&nbsp;and also second throneholder of&nbsp;<a href=""/geographies/view/Labrang-Tashikyil-Monastery/TBRC_G162"">Labrang Tashikyil Monastery</a>.&nbsp;<a href=""/biographies/view/Ngawang-Tashi/TBRC_P410"">Ngawang Tashi</a>&nbsp;was posthumously named the First Setsang and&nbsp;<a href=""/biographies/view/Ngawang-Jamyang-Tashi/TBRC_P3681"">Ngawang Jamyang Tashi</a>&nbsp;became the Second Setsang. The title of Setsang Lama is derived from Ngawang Tashi&#39;s clan name, &quot;Se,&quot; and &quot;tshang,&quot; which means household. The seat is at&nbsp;<a href=""/geographies/view/Terlung-Yiga-Choling-monastery/TBRC_G471"">Terlung Yiga Choling monastery</a>&nbsp;in Amdo.</p>
"
54,,54,Shardong,Geluk,27,,,shar gdong,ཤར་གདོང་།,,G161,TOLG358,"<p>
	The Shardong incarnation lineage was in existence by the twentieth century, when the&nbsp;<a href=""/biographies/view/Fifth-Shardong,-Lobzang-Shedrub-Gyatso/TBRC_P4704"">Fifth Shardong, Lobzang Shedrub Gyatso</a>, was recognized as the reincarnation of the Fourth Shardong while in his mother&#39;s womb. There is no information about the Fourth Shardong, or any of the previous incarnations. The seat is at Lhalung Jakhyung Monastery in Tsongon. A Sixth Shardong has not been named.</p>
"
55,R8LS13138,55,Sodrak,Geluk,27,,,bsod grags sprul sku ,བསོད་གྲགས་སྤྲུལ་སྐུ།,,G162,TOLG41,"<p>
	The Sodrak incarnation line dates to the eighteenth century <a href=""/biographies/view/Sonam-Drakpa/TBRC_P4208"">Sonam Drakpa</a>, who was posthumously known as the First Sodrak Tulku. This incarnation line is associated with <a href=""/geographies/view/Labrang-Tashikhyil/TBRC_G162"">Labrang Tashikhyil</a>.</p>
"
56,R8LS12799,56,Takpu,Geluk,27,,,stag phu ,སྟག་ཕུ།,,,,"<p>
	According to some sources, the Takpu incarnation line is said to begin with Gushri Pelden Dondrub, who was born in the late fourteenth century. An alternate listing traces the first Takpu to the eighteenth century <a href=""/biographies/view/Lobzang-Tenpai-Gyeltsen/TBRC_P336"">Lobzang Tenpai Gyeltsen</a>. Another title commonly associated with the Takpu incarnations was that of Garwang: Gargyi Wangchuk and Gargyi Wangpo, already used by Lobzang Chokyi Wangchuk, who appears to have been known by this name.</p>
<p>
	<a href=""/biographies/view/Jampel-Tenpai-Ngodrub/TBRC_P231"">Jampel Tenpai Ngodrub</a> notes that he is the Fourth Gargyi Wangchuk. It seems that either an incarnation is missing from the accepted sequence, or that Tenpai Ngodrub counts Lobzang Tenpai Gyeltsen and not Chokyi Wangchuk as the first &lsquo;official&rsquo; Garwang incarnation. The latter explanation would follow today&rsquo;s usual presentation of the lineage as Tenpai Ngodrub appears to be regarded as the Fourth Takpu incarnation amongst contemporary Geluk lineage holders. Takpu incarnations are said to have been highly accomplished yogis and are well-known for their pure visions of deities and the ability to travel to various pure lands in order to receive teachings.</p>
"
57,,57,Taktser,Geluk,27,,,stag mtsher,སྟག་མཚེར།,,G160,TOLG40,"<p>
	The Taktser incarnation line was initiated when <a href=""/biographies/view/Second-Taktser,-Yeshe-Kelzang/TBRC_P1143"">Yeshe Kelzang</a> was recognized as the reincarnation of <a href=""/biographies/view/Lobzang-Dorje/TBRC_P1137"">Lobzang Dorje</a>, an abbot of the tantric college at <a href=""/geographies/view/Kumbum-monastery/TBRC_G160"">Kumbum Monastery</a>, who was then posthumously known as the First Taktser, The name of the incarnation line stems from the town of Taktser in Amdo where the Lobzang Dorje was born. The seat of this incarnation line is at Kumbum. The <a href=""/biographies/view/Fifth-Takster,-Lobzang-Tsultrim-Jigme-Gyatso/TBRC_P1138"">Fifth Takster, Lobzang Tsultrim Jigme Gyatso</a> was a contemporary of the <a href=""/biographies/view/Thirteenth-Dalai-Lama/TBRC_P197"">Thirteenth Dalai Lama</a>, and together they worked to improve the administration of Kumbum. The <a href=""/biographies/view/Sixth-Taktser,-Tubten-Jigme-Norbu/TBRC_P1648"">Sixth Taktser, Tubten Jigme Norbu</a>, was the brother of the Fourteenth Dalai Lama. He passed away in 2008 in Indiana, USA.</p>
"
58,R8LS12798,58,Tatsak Jedrung,Geluk,27,,,rta tshag rje drung,རྟ་ཚག་རྗེ་དྲུང་།,,G219,TOLG536,"<p>
	The Tatsak Jedrung incarnation line is also known as the Olga Jedrung. The first to hold the title was <a href=""/biographies/view/Ngawang-Chokyi-Wangchuk/TBRC_P1080"">Ngawang Chokyi Wangchuk</a> who became the Fifth Tatsak Jedrung. Previous incarnations were identified as the first through the fourth, the first being <a href=""/biographies/view/Baso-Chokyi-Gyeltsen/TBRC_P432"">Baso Chokyi Gyeltsen</a>, who was a disciple of <a href=""http://beta.treasuryoflives.org/biographies/view/Tsongkhapa-Lobzang-Drakpa/TBRC_P64"">Tsongkhapa Lobzang Drakpa</a> and the younger brother of <a href=""http://beta.treasuryoflives.org/biographies/view/Khedrubje-Gelek-Pelzang/TBRC_P55"">Khedrubje Gelek Pelzang</a>. <a href=""/biographies/view/Wonpo-Lhakyab/TBRC_P4493"">Wonpo Lhakyab</a>, a nephew of the First Pakpa Lha, <a href=""http://beta.treasuryoflives.org/biographies/view/Dechen-Dorje/TBRC_p427"">Dechen Dorje</a>, was given the title of Second Tatsak Jedrung, and a fictional person named <a href=""/biographies/view/Liyul-Chogyel/TBRC_P4498"">Liyul Chogyel</a> was created to bridge the gap between the Second and the Fourth. Beginning with the <a href=""/biographies/view/Ninth-Tatsak/TBRC_P266"">Ninth Tatsak</a>, the incarnation line also became known as the Kundeling Hutuktu after the <a href=""/geographies/view/Kundeling/TBRC_G219"">Kundeling</a> temple, which was offered to this incarnation line in perpetuity by the Qing emperor. The Eighth Tatsak, <a href=""/biographies/view/Yeshe-Lobzang-Tenpai-Gonpo/TBRC_P302"">Yeshe Lobzang Tenpai Gonpo</a> and the Tenth Tatsak, <a href=""/biographies/view/Ngawang-Pelden-Chokyi-Gyeltsen/TBRC_P246"">Ngawang Pelden Chokyi Gyeltsen</a> both served as regent of Tibet.</p>
"
59,R8LS13418,59,Tewo Lungzang Nangwa,Geluk,27,,,the bo lung bzang nang ba ,ཐེ་བོ་ལུང་བཟང་ནང་བ།,,G1KR226,TOLG804,"<p>
	The Tewo Lungzang Nangwa incarnation line dates to the seventeenth century. The <a href=""/biographies/view/First-Tewo-Lungzang,-Nangwa-Lobzang-Samten/TBRC_P8LS13405"">First Tewo Lungzang, Nangwa Lobzang Samten</a> founded the monastery of Tewo <a href=""/geographies/view/Ganden-Jangchub-Chopel-Ling/TBRC_G1KR226"">Ganden Jangchub Chopel Ling</a>, a Geluk monastery which is the seat of the incarnation line.</p>
"
60,R8LS13060,60,Tongkhor,Geluk,27,,,stong 'khor,སྟོང་འཁོར།,,G1542,TOLG411,"<p>
	The Tongkhor line of incarnations began in the sixteenth century when, following the death of <a href=""/biographies/view/Dawa-Gyeltsen/TBRC_P2048"">Dawa Gyeltsen</a> in 1556, <a href=""/biographies/view/Yonten-Gyatso/TBRC_P2043"">Yonten Gyatso</a> was recognized as his reincarnation, named the Second Tongkhor, and installed at <a href=""/geographies/view/Tongkhor-Tashilhunpo/TBRC_G1542"">Tongkhor Tashilhunpo</a>. After the death of the <a href=""/biographies/view/Third-Tongkhor,-Gyelwa-Gyatso/TBRC_P1004"">Third Tongkhor, Gyelwa Gyatso</a>, the line established two seats. According to tradition, a recently deceased seventeen-year old boy of mixed Tibetan and Chinese heritage, while being carried to his funeral, suddenly sat up and declared that he was the Tongkhor lama. Thought to be a zombie, the Chinese army was called in to destroy him. The boy emerged from the assault unharmed, convincing everyone that he was indeed the reincarnation of Gyelwa Gyatso. The identity of the young man, who was given the name <a href=""/biographies/view/Dogyu-Gyatso-/TBRC_P722"">Dogyu Gyatso </a>by local lamas, was later affirmed and taught by the Fourth Panchen Lama, <a href=""/biographies/view/Lobzang-Chokyi-Gyeltsen/TBRC_P719"">Lobzang Chokyi Gyeltsen</a>, and the Fifth Dalai Lama, <a href=""/biographies/view/Ngawang-Lobzang-Gyatso/TBRC_P37"">Ngawang Lobzang Gyatso</a>. After returning east, he created a new Geluk monastery called <a href=""/geographies/view/Tongkhor-Ganden-Chokhor-Ling/TBRC_G239"">Tongkhor Ganden Chokhor Ling</a> in the Tongkhor region of Amdo. It would seem that this institution developed quite quickly, and in competition with Tashilhunpo in Kham, for following the death of the Fifth Tongkhor, <a href=""/biographies/view/Ngawang-Sonam-Gyatso/TBRC_P1468"">Ngawang Sonam Gyatso</a>, both communities put forward their own reincarnations. There were thus two Sixth Tongkhor lamas: <a href=""/biographies/view/Ngawang-Jamyang-Tendzin-Gyatso/TBRC_P1813"">Ngawang Jamyang Tendzin Gyatso</a> and <a href=""/biographies/view/Jampel-Gendun-Gyatso/TBRC_P1KG4775"">Jampel Gendun Gyatso</a>. The two separate lines have continued to this day.</p>
"
61,,61,Trijang,Geluk,27,,,khri byang,ཁྲི་བྱང་།,,G337,TOLG36,"<p>
	The Trijang incarnation line was established in the nineteenth century when&nbsp;<a href=""/biographies/view/Lobzang-Tsultrim-Pelden/TBRC_P2569"">Lobzang Tsultrim Pelden</a>&nbsp;was recognized as the reincarnation of the&nbsp;<a href=""/biographies/view/Sixty-ninth-Ganden-Tripa,-Trichen-Jangchub-Chopel-Pelzangpo/TBRC_P306"">Sixty-ninth Ganden Tripa, Trichen Jangchub Chopel Pelzangpo</a>, and given the title of the Second Trijang. The&nbsp;<a href=""/biographies/view/Third-Trijang,-Lobzang-Yeshe-Tendzin-Gyatso/TBRC_P2596"">Third Trijang, Lobzang Yeshe Tendzin Gyatso</a>, one of the most prominent Geluk teachers of the twentieth century, was one of the two principal teachers of the Fourteenth Dalai Lama.</p>
"
62,R8LS12872,62,Tsemonling,Geluk,27,,,tshe smon gling,ཚེ་སྨོན་གླིང་།,,G220; G337,"TOL724,TOL36","<p>
	The Tsemonling incarnation line was established in the nineteenth century. The incarnation line is named Tsemonling after the palace in Lhasa where the Sixty-first Ganden Tripa Trichen <a href=""http://beta.treasuryoflives.org/biographies/view/Ngawang-Tsultrim/TBRC_P332"">Ngawang Tsultrim</a> lived and founded a college, earning the name Tsemonling Lama. <a href=""/biographies/view/Ngawang-Jampel-Tsultrim-Gyatso/TBRC_P4533"">Ngawang Jampel Tsultrim Gyatso</a>, recognized as the reincarnation of Ngawang Tsultrim became the Second Tsemonling. The First Tsemonling Ngawang Tsultrim served as the sixth Regent of Tibet from 1777 to 1786 and the <a href=""/biographies/view/Third-Tsemonling/TBRC_P4532"">Third Tsemonling</a> served as Regent in the Thirteenth Dalai Lama&#39;s absence during the 1911 Chinese invasion of Tibet.</p>
<p>
	&nbsp;</p>
"
63,,63,Tseten Zhabdrung,Geluk,27,,,tshe tan zhabs drung,ཚེ་ཏན་ཞབས་དྲུང་།,,G288,TOLG287,"<p>
	The Tseten Zhabdrung incarnation line is based in Amdo. Since the late seventeenth century, the Tseten Zhabdrung incarnations shared the throne of the Six Garwaka monasteries with the lineage of Tseten Abbots, while Tseten Zhabdrung also had his own monastic seat at Tak Monastery. The mother monastery of the Six Garwaka monasteries is a Geluk monastery known as&nbsp;<a href=""/geographies/view/Tseten/TBRC_G288"">Tseten</a>. The&nbsp;<a href=""/biographies/view/Sixth-Tseten-Zhabdrung,-Jigme-Rigpai-Lodro/TBRC_P1646"">Sixth Tseten Zhabdrung, Jigme Rigpai Lodro</a>&nbsp;was one of the great Tibetan polymaths of the twentieth century, writing extensively on Tibetan history, language, astronomy and Buddhism.</p>
"
