community_id,tbrc_id,community_name,description
186,NULL,Chokhor Uding,"<p>
	Chokhor Uding was in existence by around 1514 when the Third Panchen, Wensapa <a href=""/biographies/view/Lobzang-Dondrub/TBRC_P997"">Lobzang Dondrub</a>, was ordained as a novice monk there.</p>
"
187,NULL,Lharitse,"<p>
	Lharitse appears to have been a small temple in Tsang, possibly Geluk or Kadam. A lama from the monastery, <a href=""/biographies/view/Drakpa-Dondrub/TBRC_P1775"">Drakpa Dondrub</a>, participated in the ordination of the <a href=""/biographies/view/Third-Paṇchen-Lama,-Wensapa-Lobzang-Dondrub/TBRC_P997"">Third Paṇchen Lama, Wensapa Lobzang Dondrub</a>.</p>
"
188,G1AG31,Garmo Chodzong,"<p>
	Garmo Chodzong is a hermitage to the west of Shigatse, near <a href=""/geographies/view/Wensa/TBRC_G238"">Wensa</a>. It was at this hermitage that <span class=""biog-name-large"">the Third Paṇchen Lama, <a href=""/biographies/view/Wensapa-Lobzang-Dondrub/TBRC_P997"">Wensapa Lobzang Dondrub</a>&nbsp;</span> received the full transmission of the Lamrim and the Ganden Oral tradition from <a href=""/biographies/view/Chokyi-Dorje/TBRC_P994"">Chokyi Dorje</a>.</p>
<p>
	&nbsp;</p>
"
189,NULL,Lekdrub Dratsang,"<p>
	Lekdrub Dratsang was a Geluk educational community in Nyangto. It was in existence by the early sixteenth century when <a href=""/biographies/view/Sanggye-Yeshe/TBRC_P97"">Sanggye Yeshe</a> studied there under <a href=""/biographies/view/amyang-Gendun-Lobzang/TBRC_P100"">Jamyang Gendun Lobzang</a>.</p>
"
190,G394,Gyume Dratsang,"<p>
	Gyume, the Lower Tantric College, is one of the two main Geluk tantric colleges in central Tibet. It was established in 1433 by the heir of Tsongkhapa&#39;s tantric teachings, <a href=""/biographies/view/Sherab-Sengge/TBRC_P2093"">Sherab Sengge</a><span class=""biog-name-large""> </span><span class=""biog-date-small"">(b.1383 - d.1445</span>), in the southern district of Lhasa known as Nordzin Gyeltsen (nor &#39;dzin rgyal mtshan). Later Gyume was moved to the Changlochen district in the northern section of the city. The main study at Gyume is of the tantric systems of the Akshobhya form of Guhyasamaja (gsang &lsquo;dus mi skyod pa), the Luipa tradition of Chakrasamvara (bde mchog lu&rsquo;i pa), and Thirteen-Couple Vajrabhairava (&lsquo;jigs byed lha bcugsum). The tantric colleges at <a href=""/geographies/view/Sera/TBRC_G154"">Sera</a> and <a href=""/geographies/view/Drepung/TBRC_G108"">Drepung</a> have a historical relationship with Gyume.&nbsp;</p>
<p>
	&nbsp;</p>
"
191,G4247,Riwo Gepel,"<p>
	Riwo Gepel is a Geluk monastery in Namling that was founded in the fourteenth century by <a href=""/biographies/view/Shangpa-Kunkhyen-Sherab-Pelzang/TBRC_P3230"">Shangpa Kunkhyen Sherab Pelzang</a>.</p>
"
192,G4244,Gangchen Chopel,"<p>
	Gangchen Chopel is a Geluk monastery that was founded by <a href=""/biographies/view/Panchen-Zangpo-Tashi/TBRC_P491"">Panchen Zangpo Tashi</a> (1410-1478/79) in the fifteenth century, during the time he was serving as abbot of <a href=""/geographies/view/Tashilhunpo-Monastery/TBRC_G104"">Tashilhunpo Monastery</a>.</p>
"
193,NULL,Samdrub Ling,"<p>
	Samdrub Ling, a Nyingma monastery, was in existence by at least the early sixteenth century, <span class=""biog-name-large""><a href=""/biographies/view/Ngari-Paṇchen-Pema-Wanggyel/TBRC_P1699"">Ngari Paṇchen Pema Wanggyel</a>, when<span class=""biog-date-small""> took his ordination vows there. </span></span></p>
"
195,G2824,Tangpoche,"<p>
	Tangpoche, originally a Kadampa monastery located in central Tibet, was founded in 1017 by a group of the Eastern Vinaya monk <a href=""/biographies/view/Lume-Sherab-Tsultrim/TBRC_P1575"">Lume Sherab Tsultrim</a>&#39;s students known as &quot;seven and a half monks.&quot; It is famous for having been visited by <a href=""/biographies/view/Atisha/TBRC_P3379"">Atiśa</a> at the invitation of <a href=""/biographies/view/Khuton-Tsondru-Yungdrung/TBRC_P3464"">Khuton Tsondru Yungdrung</a>. <a href=""/biographies/view/Tsongkhapa-/TBRC_P64"">Tsongkhapa</a>&nbsp;visited the monastery in the fourteenth century and thereafter it became a Geluk monastery.&nbsp;</p>
"
197,G4783,Zhangzhung Dorjeden,"<p>
	Zhangzhung Dorjeden&nbsp;is a Shangpa Kagyu monastery that was founded by <a href=""/biographies/view/Khyungpo-Neljor/TBRC_p39"">Khyungpo Neljor</a> in 1121. It is located in the Shang valley of Tsang. Khyungpo Neljor&#39;s remains were interred here. It was later converted to the Geluk tradition, and the Shangpa teachings were restored by <a href=""/biographies/view/Kalu-Rinpoche/TBRC_P938"">Kalu Rinpoche</a> in the 1940s.</p>
"
198,G2CN10832,Chekar Chode,"<p>
	Chekar Chode, a Geluk monastery located in Rong in Zangri county, was founded in 1577 by the <a href=""/biographies/view/Third-Dalai-Lama/TBRC_P999"">Third Dalai Lama</a>, who was assisted by the <a href=""/biographies/view/King-of-Lhagyari,-Sonam-Rabten/TBRC_P8LS4341"">King of Lhagyari, Sonam Rabten</a>.&nbsp;</p>
"
199,G4576,Langtang,"<p>
	Langtang is a monastery in Penyul that was founded in &nbsp;the 11th century by <a href=""/biographies/view/Langri-Tangpa-Dorje-Sengge/TBRC_P3445"">Langri Tangpa Dorje Sengge</a>. Originally Kadam, it was later taken over by the Sakya tradition.</p>
"
204,NULL,Darnga Hermitage,"<p>
	Darnga is a mountain retreat in Amdo where in the 1930s, <a href=""/biographies/view/Ngawang-Lodro-Drakpa/TBRC_P6167"">Ngawang Lodro Drakpa</a> sat in retreat under the guidance of Dzamno Dorje Kunga Ngawang.</p>
"
205,G4932,Rashuk,"<p>
	Rashuk is a Jonang hermitage. It was in existence from at least the early twentieth century when <a href=""/biographies/view/Ngawang-Tsoknyi-Gyatso/TBRC_P7843"">Ngawang Tsoknyi Gyatso</a> stayed at Rashuk, a mountain hermitage, for a considerable period of time.</p>
"
206,G529,Dzamtang,"<p>
	Dzamtang is a monastic city in southern Amdo. It is the common name for the three adjoining Jonang monasteries of <a href=""/geographies/view/Tsangwa/TBRC_G1KR166"">Tsangwa</a>, <a href=""/geographies/view/Choje/TBRC_g529"">Choje</a> and <a href=""/geographies/view/Tsechu/TBRC_G1KR168"">Tsechu</a>. Of these,Tsangwa is the main monastery of the Dzamtang area and the home institution of the Jonang order. The oldest monastery of the complex is Choje, which was established in 1425 by <a href=""/biographies/view/Rinchen-Pel/TBRC_P8878"">Rinchen Pel</a>.</p>
<p>
	&nbsp;</p>
"
207,G193,Lhundrubteng,"<p>
	Lhundrubteng is a Sakya monastery in Derge. It was founded in the fifteenth century by <a href=""/biographies/view/Jampa-Puntsok/TBRC_P1AG76"">Jampa Puntsok</a> on the site of earlier royal temples. Starting in the seventeenth century it enjoyed close ties with <a href=""/geographies/view/Ngor-Monastery/TBRC_g211"">Ngor Monastery</a> in Tsang, and is sometimes considered a branch of that monastery. The monastery includes the famous <a href=""/geographies/view/Derge-Printing-House/TBRC_G1657"">Derge Printing House</a>. It is popularly known as Gonchen, although this term is also used for the entire city of Derge.&nbsp;</p>
"
208,G1KR168,Tsechu Monastery,"<p>
	Tsechu is a Jonang monastery that was founded in 1462 in Amdo. Together with the adjoining monasteries of <a href=""/geographies/view/Tsangwa/TBRC_G1KR166"">Tsangwa</a> and <a href=""/geographies/view/Choje/TBRC_G1KR236"">Choje</a>, they make up Dzamtang monastery complex in the Dzamtang area in eastern Tibet.</p>
<p>
	&nbsp;</p>
"
209,G1KR236,Choje Monastery,"<p>
	Choje is a Jonang monastery that was founded in 1425 by <a href=""/biographies/view/Rinchen-Pel/TBRC_P8878"">Rinchen Pel</a> in Dzamtang in Ngawa. Together with the adjoining monasteries of <a href=""http://beta.treasuryoflives.org/geographies/view/Tsangwa/TBRC_G1KR166"">Tsangwa</a> and <a href=""/geographies/view/Tsechu/TBRC_G1KR168"">Tsechu</a>, they make up the Dzamtang monastery complex in the Dzamtang area in eastern Tibet. Choje is the oldest monastery of the complex while <a href=""/geographies/view/Tsangwa/TBRC_G1KR166"">Tsangwa</a> is the main monastery and the home institution of the Jonang order.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
"
210,G1KR166,Tsangwa Monastery,"<p>
	Tsangwa Monastery, located in Amdo, is an important Jonang monastery that was founded in 1717 by <a href=""/biographies/view/Lodro-Namgyel/TBRC_P10313"">Lodro Namgyel</a>. It is one of three monasteries, the other two being&nbsp; <a href=""http://beta.treasuryoflives.org/geographies/view/Choje/TBRC_G1KR236"">Choje</a> and <a href=""http://beta.treasuryoflives.org/geographies/view/Tsechu/TBRC_G1KR168"">Tsechu</a>, that comprise the <a href=""/geographies/view/Dzamtang/TBRC_G529"">Dzamtang</a> monastic complex. It is divided into Tsangchung and Tsangchen Monasteries.</p>
"
212,G1PD96118,Old Ditsa,"<p>
	Old Ditsa is a Geluk monastery that was founded in 1393 in Amdo. It is a sister institution to <a href=""/geographies/view/Ditsa-Tashi-Choding/TBRC_G1PD96117"">Ditsa Tashi Choding</a>.</p>
"
214,G2576,Ba Monastery,"<p>
	Ba is a Geluk monastery in Chumarleb county in eastern Tibet. The region was more or less uninhabited until the late nineteenth century. In 1924, the first fifteen pastoral households moved to the region from Golok. Before 1948 four hundred monks lived in Ba Monastery.</p>
"
215,G35,Karma Gon,"<p>
	Karma Gon was the original seat of the <a href=""/incarnation/view/Karmapa/TBRC_R8LS12875"">Karmapa</a> incarnation line. It was founded in 1147 by the <a href=""/biographies/view/First-Karmpapa,-Dusum-Khyenpa/TBRC_P1400"">First Karmpapa, Dusum Khyenpa</a>, in northeastern Kham. It was the seat of the <a href=""/incarnation/view/Tai-Situ-incarnation-line/TBRC_R8LS13050"">Tai Situ incarnation line</a> until the <a href=""/biographies/view/Eighth-Situ,-Chokyi-Jungne/TBRC_P956"">Eighth Situ, Chokyi Jungne</a> moved his seat to <a href=""/geographies/view/Pelpung-Monastery/TBRC_G36"">Pelpung Monastery</a> in Derge in the early eighteenth century.</p>
"
216,G280,Gyel Lhakhang,"<p>
	Gyel Lhakhang is an ancient Kadampa monastery in Penyul (&#39;phen yul) in central Tibet. It was founded in 1012 by <a href=""/biographies/view/Zhang-Nanam-Dorje-Wangchuk/TBRC_P1577"">Zhang Nanam Dorje Wangchuk</a>, a student of <a href=""/biographies/view/Lume/TBRC_P1575"">Lume</a>. The Fifth Dalai Lama once took refuge here when war broke out in Lhasa in 1636.</p>
"
217,NULL,Dakpo Draka,"<p>
	Dakpo Draka, a monastery in U-tsang, was in existence by mid-twelveth century when the <a href=""/biographies/view/First-Karmapa,-Dusum-Khyenpa/TBRC_P1400"">First Karmapa, Dusum Khyenpa</a>, received teachings here from Gomtsul and <a href=""/biographies/view/Sharawa-Yonten-Drak/TBRC_P1405"">Sharawa Yonten Drak</a>.</p>
"
218,G70,Riwoche Monastery,"<p>
	Riwoche, a major Taklung Kagyu monastery in Kham, was founded in 1276 by <a href=""/biographies/view/Sanggye-Won/TBRC_P1019"">Sanggye Won</a>, considered an incarnation of <a href=""/biographies/view/Gampopa/TBRC_P1844"">Gampopa</a>. The large three story temple is supported by wooden columns and contains impressive stone walls, and has been described as fortress-like. At one time 2,000-2,500 monks resided at Riwoche, making it one of the largest monasteries in the region.&nbsp;</p>
"
219,G4744,Riwoche Yanggon,"<p>
	Riwoche Yanggon, founded in the seventeenth century by the <a href=""/biographies/view/Second-Riwoche-Jedrung,-Drakpa-Gyeltsen/TBRC_P3AG46"">Second Riwoche Jedrung, Drakpa Gyeltsen</a>, is a branch of <a href=""/geographies/view/Riwoche/TBRC_G70"">Riwoche</a>, a major Taklung Kagyu monastery in Kham.</p>
"
224,G4595,Poto,"<p>
	Poto is a Kadampa monastery that was founded in the mid-eleventh century in Penyul by <a href=""/biographies/view/Potowa-Rinchen-Sel/TBRC_p3442"">Potowa Rinchen Sel</a>.</p>
"
225,G2832,Rechung Puk,"<p>
	Rechung Puk in Nedong is a Kagyu monastery that was the meditation hermitage of <a href=""/biographies/view/Rechungpa/TBRC_P4278"">Rechungpa</a>. <a href=""/biographies/view/Tsangnyon-Heruka/TBRC_p442"">Tsangnyon Heruka</a> composed his biography of <a href=""/biographies/view/Milarepa/TBRC_p1853"">Milarepa</a> at the hermitage.</p>
"
226,G2CN11076,Puchung,"<p>
	Puchung, a Kadam monastery in Penyul near <a href=""/geographies/view/Poto-Monastery/TBRC_G4595"">Poto Monastery</a>, was built by <a href=""/biographies/view/Puchungwa-Zhonnnu-Gyeltsen/TBRC_p405"">Puchungwa Zhonnnu Gyeltsen</a> in the twefth century.&nbsp;</p>
"
227,NULL,Gyachak Ri,"<p>
	Gyachak Ri monastery in Penyul (Penpo in central Tibet) seems to have existed from at least 1104. In 1104, <a href=""/biographies/view/Gampopa-Sonam-Rinchen/TBRC_P1844"">Gampopa Sonam Rinchen</a> was ordained either here in Penyul at Gyachak Ri or in Dakpo.</p>
"
228,G2251,Sewalung,"<p>
	Sewalung is a Drigung Kagyu monastery in central Tibet that was founded by a man named Tenpa Rabgye in the fifteenth century.&nbsp;</p>
"
229,G392,Zur Ukpalung,"<p>
	Zur Ukpalung was an important Nyingma monastery in Tsang founded by <a href=""/biographies/view/Zurchen-Shakya-Jungne/TBRC_P2889"">Zurchen Shakya Jungne</a> in the eleventh century. Zurchen&#39;s student <a href=""/biographies/view/Shakya-Sengge/TBRC_P2892"">Shakya Sengge</a>&nbsp;led the monastery subsequently. At its height it was well-known for as a center for scholarship of Nyingma tantra.&nbsp;</p>
"
231,NULL,Dechen Teng,"<p>
	Dechen Teng is a hermitage or a monastery built by the <a href=""/biographies/view/Third-Karmapa,-Rangjung-Dorje/TBRC_P66"">Third Karmapa, Rangjung Dorje</a><span class=""biog-date-small""> </span>in the early fourteenth century.&nbsp;</p>
"
232,G00JR3353,Hemis,"<p>
	Hemis Monastery was founded in the 11th century in Ladakh. In the 1630s, it was restored by <a href=""/biographies/view/Taktsang-Repa-Ngawang-Gyatso/TBRC_P7857"">Taktsang Repa Ngawang Gyatso</a>, a key figure in the religious tradition of Ladakh,&nbsp;under the patronage of King Sengge Namgyel. It is a Drukpa Kagyu monastery locate about forty kilometers from Leh.</p>
"
233,G1PD127458,Hanle,"<p>
	Hanle was the first of the Drukpa Kagyu monasteries that <a href=""/biographies/view/Taktsang-Repa-Ngawang-Gyatso/TBRC_P7857"">Taktsang Repa Ngawang Gyatso</a> founded in Ladakh with the patronage of King Sengge Namgyel in the seventeenth century.</p>
"
234,NULL,Chemrey,"<p>
	Chemrey is a Drukpa Kagyu monastery located outside of Leh in Ladakh. It was built by <a href=""/biographies/view/Taktsang-Repa-Ngawang-Gyatso/TBRC_P7857"">Taktsang Repa Ngawang Gyatso</a> as a memorial following King Sengge Namgyel&#39;s death. Construction began in March 1644 and was completed in 1645 or 1646.</p>
"
235,NULL,Chukyer Gonsar,"<p>
	Chukyer Gonsar is a monastery near Mt. Kulakhari in Lhodrak, southern Tibet. It was the seat of <a href=""/biographies/view/Dorje-Lingpa/TBRC_P6164"">Dorje Lingpa</a>.</p>
"
236,G330,Tsunmo Tsel,"<p>
	Tsunmo Tsel is a Geluk monastery that was founded by <a href=""/biographies/view/Duldzin-Drakpa-Gyeltsen/TBRC_P1591"">Duldzin Drakpa Gyeltsen</a> in 1420 in central Tibet.&nbsp;</p>
"
237,G180,Chamdo Jampa Ling ,"<p>
	Chamdo Chokhor Kelden Jampa Ling is an important Geluk monastery that was founded by <a href=""/biographies/view/Jangsem-Sherab-Zangpo/TBRC_P2CZ9156"">Jangsem Sherab Zangpo</a>, a disciple of <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a>&#39;s, in 1437 in Chamdo, Kham. The monastery, the largest Geluk monastery in Kham, is the seat of the <a href=""/incarnation/view/Pakpa-Lha/TBRC_R8LS12860"">Pakpa Lha</a> and <a href=""/incarnation/view/Zhiwa-Lha/TBRC_R8LS12813"">Zhiwa Lha</a> incarnations. It has several monastic colleges, including <a href=""/geographies/view/Lingto/TBRC_G1AG96"">Lingto</a>.</p>
"
241,G1KR1751,Patsang Gon Yungdrung Rabten Ling,"<p>
	Patsang Gon, a Bon monastery of the Pa (spa) lineage, is located in Drachen county. It was founded by <a href=""/biographies/view/Paton-Yungdrung-Namzang/TBRC_P9286"">Paton Yungdrung Namzang</a> in 1847.&nbsp;</p>
"
242,G1KR1755,Lupuk Gonpa ,"<p>
	Lupuk Gonpa is a Bon monastery that was initially established in 1626 as a Bon and Drigung site called Karmar Labrang. It was reconsecrated in 1827 as a Bon monastery by <a href=""/biographies/view/Nyima-Tendzin/TBRC_P265"">Nyima Tendzin</a>, the twenty-third abbot of Menri Monastery.</p>
"
243,G1811,Lungkar,"<p>
	Lungkar is a Geluk monastery that was founded by Achok Lobzang Yeshe in 1785 in Golok, Amdo near Mount Nyenpo Yurtse. It is a branch of <a href=""/geographies/view/Ragya/TBRC_G398"">Ragya</a>.</p>
"
244,G4,Menri,"<p>
	Menri, the main Bon monastery located in Namling county in central Tibet, was founded in 1404 or 1405 by <a href=""/biographies/view/Nyamme-Sherab-Gyeltsen/TBRC_P1675"">Nyamme Sherab Gyeltsen</a>. At one time it housed 350 monks, four colleges, a school of dialectics, and an assembly hall. It was largely destroyed during the cultural revolution, and although some restoration has occured, the site still has extensive ruins and only a small cohort of monks.&nbsp;</p>
"
245,G3540,Yeru Wensakha,"<p>
	Yeru Wensakha, a Bon monastery in central Tibet, was the first Bon monastery founded by&nbsp;<a href=""http://www.treasuryoflives.org/biographies/view/Dru-Jetsung-Yungdrung/TBRC_P2CN11130"">Dru Jetsun Yungdrung Lama</a>&nbsp;in 1072. In 1386 it was destroyed by floods and rebuilt.</p>
"
246,G4598,Joden Gendungang ,"<p>
	Joden is a Kadampa monastery that was founded in mid eleventh century in central Tibet just outside of Lhasa.&nbsp;</p>
"
247,G2601,Pelme Tekchen Evam Gatsel Ling ,"<p>
	Pelme Tekchen Evaṁ Gatsel Ling is a Drigung Kagyu monastery in Nangchen, Kham. It was founded in 1640. <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a> was a monk there when he began revealing treasures.</p>
"
248,G2611,Nangchen Gar,"<p>
	Nangchen Gar is a Drukpa Kagyu monastery in the capital city of Nangchen. <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a> was a student at this monastery during the nineteenth century.</p>
"
249,G4147,Lingga Dewachen ,"<p>
	Lingga Dewachen is a Sakya monastery in Lato that was founded in the 1437 by <a href=""/biographies/view/Muchen-Sempa-Chenpo/TBRC_P1034"">Muchen Sempa Chenpo</a>.</p>
"
250,G324,Musu Yama Monastery,"<p>
	Musu Yama, a Sakya monastery in the Mu valley of Lato, was founded in 1459 by <a href=""/biographies/view/Muchen-Sempa-Chenpo-Konchok-Gyeltsen/TBRC_P1034"">Muchen Sempa Chenpo Konchok Gyeltsen</a>.</p>
"
251,G1KR1528,Dingma Monastery,"<p>
	Dingma was a Kadam monastery that was established in the eleventh century in central Tibet in present-day Namling county. It was founded by Ram Dingma Deshek Jungne.&nbsp;</p>
"
253,G665,Pelri Tekchen Ling ,"<p>
	Pelri Tekchenling is a Nyingma monastery in Chonggye that was initially established by <a href=""/biographies/view/Terton-Sherab-Ozer/TBRC_P638"">Terton Sherab Ozer</a> under the patronage of <a href=""/biographies/view/Sonam-Tobgyel/TBRC_P879"">Sonam Tobgyel</a> in the 16th century. A branch of <a href=""/geographies/view/Katok/TBRC_g17"">Katok</a>, it was the birthplace and childhood monastery of <a href=""/biographies/view/Jigme-Lingpa/TBRC_p314"">Jigme Lingpa</a>. Pelri is the seat of the <a href=""/incarnation/view/Pelri-/TBRC_R8LS12785"">Pelri </a>incarnation line.&nbsp;</p>
"
254,G351,Tseringjong,"<p>
	Tseringjong, located in central Tibet, is a Nyingma monastery that was founded by <a href=""/biographies/view/Jigme-Lingpa/TBRC_P314"">Jigme Lingpa</a> as a hermitage in 1762. It has functioned as an active nunnery since the nineteenth century.&nbsp;</p>
"
255,G3386,Driru Gon,"<p>
	Driru Monastery, Namgyel Pelbar is a Geluk monastery in Naksho that was founded in 1440 by <a href=""/biographies/view/Zhangzhung-Chowang-Drakpa/TBRC_p4341"">Zhangzhung Chowang Drakpa</a>.</p>
"
256,G1237,Den Chokhor,"<p>
	Den Chokhor in Kham was in existence by the mid-fifteenth century when <a href=""/biographies/view/Kunga-Pelden/TBRC_p5552"">Kunga Pelden</a> served as its abbot.</p>
"
259,G3774,Sinmo Dzong ,"<p>
	Sinmo Dzong is a hermitage in Naksho, Kham. It was the seat of <a href=""/biographies/view/Nyima-Drakpa/TBRC_P425"">Nyima Drakpa</a>&nbsp;who engaged in retreat there between&nbsp;1671 and 1674.</p>
"
263,NULL,Khyungpak Tsang,"<p>
	Khyungpak Tsang was a Bon monastery that was in existence by the thirteenth century, when <a href=""/biographies/view/Donggom-Zhikpo/TBRC_P11MS163"">Donggom Zhikpo</a>, the fifth lineage holder of the <em>Nyengyu Rigpa Chertong</em> tradition of Bon Dzogchen, studied there. It was at Khyungpak Tsang that Donggom received ordi&shy;nation from Khyungpak Gyelbu Lama (khyung &#39;phags rgyal bu bla ma).</p>
"
265,NULL,Zhertsa Chode ,"<p>
	Zhertsa Chode was in exsitence by at least the sixteenth century when&nbsp;<span style=""font-size:12px;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""color: rgb(51, 51, 51); line-height: 19.6px;""><a href=""/biographies/view/Jedrung-Sherab-Wangpo/TBRC_P5569"">Jedrung Sherab Wangpo</a> served as abbot there.&nbsp;</span></span></span></p>
"
266,G1541,Dargye Monastery,"<p>
	Dargye is a Geluk monastery that was founded in 1642 by <a href=""/biographies/view/Jedrung-Sherab-Wangpo/TBRC_P5569"">Jedrung Sherab Wangpo</a> outside of Kandze, Kham. It is the largest of the so-called Hor monasteries in the region, which were established by the Mongolian patrons of the Geluk tradition.</p>
"
267,NULL,Potima ,"<p>
	Potima, a small Geluk community in Kham, was established in 1536 by <a href=""/biographies/view/Jedrung-Sherab-Wangpo/TBRC_P5569"">Jedrung Sherab Wangpo</a>.</p>
"
269,G2GS1070,Tanak Serling,"<p>
	Tanak Serling, a Sakya monastery in central Tibet, was founded in 1466 by&nbsp;<a href=""/biographies/view/Gorampa-Sonam-Sengge/TBRC_P1042"">Gorampa Sonam Sengge</a>.</p>
"
270,G506,Tanak Tubten Namgyel ,"<p>
	Tanak Tubten Namgyel is a Sakya monastery in central Tibet in present day Zhentongmong county. It was founded by <a href=""/biographies/view/Gorampa-Sonam-Sengge/TBRC_P1042"">Gorampa Sonam Sengge</a>&nbsp;in 1473.&nbsp;</p>
"
271,G241,Japuk Dongak Dargye Ling,"<p>
	Japuk Dongak Dargye Ling was likely a Kadam monastery in Lhorong in Chamdo, Kham. In the fourteen century, <a href=""/biographies/view/Lobpon-Galeb/TBRC_P8LS12002"">Lobpon Galeb</a> and <a href=""/biographies/view/Takleb-Jangchup-Gyeltsen/TBRC_P8LS12003"">Takleb Jangchup Gyeltsen</a> joined this monastery. It is now a Geluk monastery connected with the Tatsak or <a href=""/geographies/view/Kundeling/TBRC_G219"">Kundeling</a> estate. Japuk was established in 1469 by Tanak Khenchen.</p>
<p>
	&nbsp;</p>
"
272,NULL,Sakya Drakshar,"<p>
	<span class=""biog-name-large"">Sakya Drakshar monastery was in existence by at least the 1430s when </span><span class=""biog-name-large"">the Fourth Ngor Khenchen, <a href=""/biographies/view/Kunga-Wangchuk/TBRC_P1040"">Kunga Wangchuk</a></span>, took novice vows here.</p>
"
273,G3JT12631,Shey,"<p>
	The Shey Palace and Monastery is an ancient royal residence of the Namgyel dynasty which reigned over Ladakh from the fifteenth to the nineteenth centuries. The heart of the whole Shey complex is formed by the main temple, the Tsuklakhang, built in the late 1640s under King Sengge Namgyel. Shey is located just outside of Leh city on a crest overlooking the Indus Valley.</p>
"
274,G4865,Azha Yarpung,"<p>
	Azha Yarpung is a Geluk monastery that was founded in 1829 in Amdo.</p>
"
275,G245,Dreyul Kyetsel ,"<p>
	Dreyul Kyetsel is a Sakya monastery that was founded by <a href=""/biographies/view/Jamchen-Rapjampa-Sanggye-Pel/TBRC_P1039"">Jamchen Rapjampa Sanggye Pel</a> in 1449 with the patronage of the Rinpunpa. After the Rinpungpa lost power, monks from Dreyul Kyetsel studied at <a href=""/geographies/view/Ngor/TBRC_G211"">Ngor</a> and <a href=""/geographies/view/Sakya/TBRC_G880"">Sakya</a>.&nbsp;</p>
"
276,G265,Nyenyo Jagoshong ,"<p>
	Nyenyo Jagoshong is a Sakya monastery in Tashigang, Tsang. It was founded by <a href=""/biographies/view/Paṇchen-Bumdrak-Sumpa/TBRC_P489"">Paṇchen Bumdrak Sumpa</a> in 1490.</p>
"
277,G250,Chokhor Lhunpo ,"<p>
	Chokhor Lhunpo is a Sakya monastery near the main monastery of Sakya that was established by <a href=""/biographies/view/Panchen-Ngodrup-Pelwar/TBRC_P986"">Panchen Ngodrup Pelwar</a>.</p>
"
278,G3488,Tashi Pende,"<p>
	Tashi Pende, a Geluk monastery located in Kongpo in Southern Tibet, was established in the sixteenth century by the <a href=""/biographies/view/Second-Pakpa-Lha,&nbsp;Pakpa-Sanggye-Pel/TBRC_P395"">Second Pakpa Lha,&nbsp;Pakpa Sanggye Pel</a>.</p>
"
279,NULL,Demola Monastery,"<p>
	Demola Monastery, a Geluk institution in Kongpo, was founded in the fifteenth century by the <a href=""/biographies/view/First-Pakpa-Lha,-Pakpa-Dechen-Dorje/TBRC_P427"">First Pakpa Lha, Pakpa Dechen Dorje</a>.</p>
"
280,G1654,Chakra,"<p>
	Chakra, also known as Changra, is a Sakya monastery in Derge, Kham. It was originally founded as a Drigung Kagyu monastery in 1125 or 1135, and in the thirteenth century it was converted to Sakya. The monastery is near the ruins of the summer palace of the Derge royal family.&nbsp;</p>
"
282,G1644,Pewar,"<p>
	Pewar is a small Sakya monastery in Derge. It was initially a Drigung Kagyu community dating to the early-thirteenth century, founded by <a href=""/biographies/view/Pelden-Jangchub-Lingpa/TBRC_P2CN11094"">Pelden Jangchub Lingpa</a>, but was soon converted in the wake of the Drigung-Sakya conflict at the end of the century.</p>
<p>
	&nbsp;</p>
"
285,G3486,Tashi Cholung,"<p>
	Tashi Cholung, a Geluk monastery in Nyangpo, was founded by the <a href=""/biographies/view/First-Pakpa-Lha,&nbsp;Pakpa-Dechen-Dorje/TBRC_P427"">First Pakpa Lha,&nbsp;Pakpa Dechen Dorje</a>&nbsp;in the fifteenth century.</p>
"
286,G2GS1296,Lho Chotritang ,"<p>
	Lho Chotritang was a Geluk monastery in Lhorong that was founded by the <a href=""/biographies/view/First-Pakpa-Lha,-Pakpa-Dechen-Dorje/TBRC_P427"">First Pakpa Lha, Pakpa Dechen Dorje</a>&nbsp;in the fifteenth century under the patronage of Rongpo Chungtsang. It continued to operate in close connection to <a href=""/biographies/view/Chamdo-Monastery/TBRC_G180"">Chamdo Monastery</a>, and in 1698 was said to have about fifty monks. It is famous for a large statue of Maitreya.</p>
"
287,G288,Tseten,"<p>
	Tseten is a Geluk monastery in Amdo that was found in 1623. It is the seat of the Tseten Zhabdrung incarnation lineage. It is also the mother monastery of the six Garwaka monasteries.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
"
288,G1KR2304,Tak Monastery,"<p>
	Tak Monastery was the seat of the Tseten Zhabdrung incarnations, who also had a seat at the six Garwaka monasteries. We are not certain of the former location of Tak but in the early 1990s the monastery was moved to Dajiayan near the village of Shidacang to the east of the Hualong County seat of Bayan.&nbsp;</p>
<p>
	&nbsp;</p>
"
