TOL ID,TBRC RID,Primary title,Primary name,Wylie title,Wylie name,Wylie script,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,HAR URL,Name display phonetic,Name display Wylie,Ordinal,Wikidata ID
4224,P2516,,Pelchok Gyeltsen,,dpal mchog rgyal mtshan,དཔལ་མཆོག་རྒྱལ་མཚན།,1599,0,,NULL,1673,0,,NULL,M,,Pelchok Gyeltsen,dpal mchog rgyal mtshan,NULL,NULL
4225,P2517,Ngor Khenchen,Jamyang Namkha Pelzang,ngor mkhan chen,jam dbyangs nam mkha' dpal bzang,འཇམ་དབྱངས་ནམ་མཁའ་དཔལ་བཟང།,1611,0,,NULL,1672,0,,NULL,M,,"The Twenty-Third Ngor Khenchen, Jamyang Namkha Pelzang",ngor mkhan chen 23 'jam dbyangs nam mkha' dpal bzang,23,NULL
4227,P2519,Ngor Khenchen,Sanggye Tendzin,ngor mkhan chen,sangs rgyas bstan 'dzin,སངས་རྒྱས་བསྟན་འཛིན།,1667,0,,NULL,1697,0,,NULL,M,,"The Twenty-Sixth Ngor Khenchen, Sanggye Tendzin",ngor mkhan chen 26 sangs rgyas bstan 'dzin,26,NULL
4228,P252,,Mipam Gyatso,,mi pham rgya mtsho,མི་ཕམ་རྒྱ་མཚོ།,1846,0,,NULL,1912,0,,NULL,M,,Mipam Gyatso,mi pham rgya mtsho,NULL,NULL
4249,P2540,Sakya Trizin,Kunga Tashi,sa skya khri 'dzin,kun dga' bkra shis,ཀུན་དགའ་བཀྲ་ཤིས།,1656,0,,NULL,1711,0,,NULL,M,,"The Twenty-Ninth Sakya Trizin, Kunga Tashi",sa skya khri 'dzin 29 kun dga' bkra shis,29,NULL
4259,P255,Dalai Lama,Khedrub Gyatso,ta la'i bla ma,mkhas grub rgya mtsho,མཁས་གྲུབ་རྒྱ་མཚོ།,1838,0,,NULL,1855,0,,NULL,M,http://www.himalayanart.org/search/set.cfm?setID=970,"The Eleventh Dalai Lama, Khedrub Gyatso",ta la'i bla ma 11 mkhas grub rgya mtsho,11,NULL
4261,P2551,,Ngok Lotsāwa Loden Sherab,,rngog lo tsA ba blo ldan shes rab,རྔོག་ལོ་ཙཱ་བ་བློ་ལྡན་ཤེས་རབ།,1059,0,,NULL,1109,0,,NULL,M,,Ngok Lotsāwa Loden Sherab,rngog lo tsA ba blo ldan shes rab,NULL,NULL
4265,P2555,Ganden Tripa,Tsultrim Chopel,dga' ldan khri pa,tshul khrims chos 'phel,ཚུལ་ཁྲིམས་ཆོས་འཕེལ།,1561,0,,NULL,1623,0,,NULL,M,,"The Thirty-Second Ganden Tripa, Tsultrim Chopel",dga' ldan khri pa 32 tshul khrims chos 'phel,32,NULL
4267,P2557,,Dromton Gyelwa Jungne,,brom ston rgyal ba'i 'byung gnas,འབྲོམ་སྟོན་རྒྱལ་བའི་འབྱུང་གནས།,1004,0,,NULL,1064,0,,NULL,M,http://www.himalayanart.org/search/set.cfm?setID=697,Dromton Gyelwa Jungne,brom ston rgyal ba'i 'byung gnas,NULL,NULL
4272,P2561,Dodrubchen,Jigme Puntsok Jungne,rdo grub chen,jigs med phun tshogs 'byung gnas,འཇིགས་མེད་ཕུན་ཚོགས་འབྱུང་གནས།,1825,1,,NULL,1860,1,,NULL,M,,"The Second Dodrubchen, Jigme Puntsok Jungne",rdo grub chen 02 'jigs med phun tshogs 'byung gnas,2,NULL
4276,P2565,Ganden Tripa,Konchok Chopel,dga' ldan khri pa,dkon mchog chos 'phel,དཀོན་མཆོག་ཆོས་འཕེལ།,1573,0,,NULL,1646,0,,NULL,M,,"The Thirty-Fifth Ganden Tripa, Konchok Chopel",dga' ldan khri pa 35 dkon mchog chos 'phel,35,NULL
4277,P2566,Ganden Tripa,Yeshe Chopel,dga' ldan khri pa,ye shes chos 'phel,ཡེ་ཤེས་ཆོས་འཕེལ།,NULL,0,,74,NULL,0,,76,M,,"The Eighty-Second Ganden Tripa, Yeshe Chopel",dga' ldan khri pa 82 ye shes chos 'phel,82,NULL
4278,P2567,Ganden Tripa,Jangchub Namkha,dga' ldan khri pa,byang chub nam mkha',བྱང་ཆུབ་ནམ་མཁའ།,NULL,0,,74,NULL,0,,76,M,,"The Eighty-Third Ganden Tripa, Jangchub Namkha",dga' ldan khri pa 83 byang chub nam mkha',83,NULL
4279,P2568,Ganden Tripa,Lobzang Tsultrim,dga' ldan khri pa,blo bzang tshul khrims,བློ་བཟང་ཚུལ་ཁྲིམས།,NULL,0,,74,NULL,0,,76,M,,"The Eighty-Fourth Ganden Tripa, Lobzang Tsultrim",dga' ldan khri pa 84 blo bzang tshul khrims,84,NULL
4280,P2569,Trijang,Lobzang Tsultrim Pelden,khri byang,blo bzang tshul khrims dpal ldan,བློ་བཟང་ཚུལ་ཁྲིམས་དཔལ་ལྡན།,1839,0,,NULL,1900,0,,NULL,M,,"The Second Trijang, Lobzang Tsultrim Pelden",khri byang 02 blo bzang tshul khrims dpal ldan,2,NULL
4282,P2570,Ganden Tripa,Lobzang Gyeltsen,dga' ldan khri pa,blo bzang rgyal mtshan,བློ་བཟང་རྒྱལ་མཚན།,1840,0,,NULL,NULL,0,,78,M,,"The Eighty-Sixth Ganden Tripa, Lobzang Gyeltsen",dga' ldan khri pa 86 blo bzang rgyal mtshan,86,NULL
4285,P2573,Gyara Tulku,Jigme Chokyi Wangchuk,rgya ra sprul sku,jigs med chos kyi dbang phyug,འཇིགས་མེད་ཆོས་ཀྱི་དབང་ཕྱུག།,1842,0,,NULL,1913,0,,NULL,M,,"The Seventh Gyara Tulku, Jigme Chokyi Wangchuk",rgya ra sprul sku 07 'jigs med chos kyi dbang phyug,7,NULL
4291,P258,,Jamyang Khyentse Wangpo,,jam dbyangs mkhyen brtse'i dbang po,འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོ།,1820,0,,NULL,1892,0,,NULL,M,http://www.himalayanart.org/search/set.cfm?setID=504,Jamyang Khyentse Wangpo,jam dbyangs mkhyen brtse'i dbang po,NULL,NULL
4301,P2589,,Yumo Mikyo Dorje,,yu mo mi bskyod rdo rje,ཡུ་མོ་མི་བསྐྱོད་རྡོ་རྗེ།,1038,1,,NULL,1117,1,,NULL,M,,Yumo Mikyo Dorje,yu mo mi bskyod rdo rje,NULL,NULL
4302,P259,,Ngawang Yeshe Tubten,,ngag dbang ye shes thub bstan,ངག་དབང་ཡེ་ཤེས་ཐུབ་བསྟན།,NULL,0,,73,NULL,0,,73,M,,Ngawang Yeshe Tubten,ngag dbang ye shes thub bstan,NULL,NULL
4309,P2596,Trijang,Lobzang Yeshe Tenzin Gyatso,khri byang,blo bzang ye shes bstan 'dzin rgya mtsho,བློ་བཟང་ཡེ་ཤེས་བསྟན་འཛིན་རྒྱ་མཚོ།,1901,0,,NULL,1981,0,,NULL,M,,"The Third Trijang, Lobzang Yeshe Tenzin Gyatso",khri byang 03 blo bzang ye shes bstan 'dzin rgya mtsho,3,NULL
4310,P2597,Zimwok,Jampa Kunga Tenzin,gzim 'og,byams pa kun dga bstan 'dzin,བྱམས་པ་ཀུན་དག་བསྟན་འཛིན།,1884,0,,NULL,1963,0,,NULL,M,,"The Fifth Zimwok, Jampa Kunga Tenzin",gzim 'og 05 byams pa kun dga bstan 'dzin,5,NULL
4314,P260,Dalai Lama,Tsultrim Gyatso,ta la'i bla ma,tshul khrims rgya mtsho,ཚུལ་ཁྲིམས་རྒྱ་མཚོ།,1816,0,,NULL,1837,0,,NULL,M,,"The Tenth Dalai Lama, Tsultrim Gyatso",ta la'i bla ma 10 tshul khrims rgya mtsho,10,NULL
4327,P2611,,Lodro Gyeltsen,,blo gros rgyal mtshan,བློ་གྲོས་རྒྱལ་མཚན།,1366,0,,NULL,1420,0,,NULL,M,,Lodro Gyeltsen,blo gros rgyal mtshan,NULL,NULL
4348,P2630,,Sherab Zangpo,,shes rab bzang po,ཤེས་རབ་བཟང་པོ།,NULL,0,,58,1438,0,,NULL,M,,Sherab Zangpo,shes rab bzang po,NULL,NULL
4349,P2631,NULL,Namkha Pelzang,NULL,nam mkha' dpal bzang,ནམ་མཁའ་དཔལ་བཟང།,1398,0,NULL,NULL,1425,0,NULL,NULL,M,,Namkha Pelzang,nam mkha' dpal bzang,NULL,NULL
4350,P2632,NULL,Jamyang Yeshe Rinchen,NULL,jam dbyangs ye shes rin chen,འཇམ་དབྱངས་ཡེ་ཤེས་རིན་ཆེན།,1364,0,NULL,NULL,1413,0,NULL,NULL,M,,Jamyang Yeshe Rinchen,jam dbyangs ye shes rin chen,NULL,NULL
4352,P2634,,Dorje Rinchen,,rdo rje rin chen,རྡོ་རྗེ་རིན་ཆེན།,NULL,0,,53,NULL,0,,NULL,M,,Dorje Rinchen,rdo rje rin chen,NULL,NULL
4354,P2636,,Marpa Chokyi Lodro,,mar pa chos kyi blo gros,མར་པ་ཆོས་ཀྱི་བློ་གྲོས།,1012,1,,NULL,1097,0,,NULL,M,http://www.himalayanart.org/search/set.cfm?setID=315,Marpa Chokyi Lodro,mar pa chos kyi blo gros,NULL,NULL
4358,P264,,Jamgon Kongtrul Lodro Taye,,jam mgon kong sprul blo gros mtha' yas,འཇམ་མགོན་ཀོན་སྤྲུལ་བློ་གྲོས་མཐའ་ཡས།,1813,0,,NULL,1899,0,,NULL,M,,Jamgon Kongtrul Lodro Taye,jam mgon kong sprul blo gros mtha' yas,NULL,NULL
4359,P2640,,Sanggye Gompa Sengge,,sangs rgyas sgom pa seng ge,སངས་རྒྱས་སྒོམ་པ་སེང་གེ།,1179,0,,NULL,1250,0,,NULL,M,,Sanggye Gompa Sengge,sangs rgyas sgom pa seng ge,NULL,NULL
4368,P2649,,Taklungtangpa Tashi Pel,,stag lung thang pa bkra shis dpal,སྟག་ལུང་ཐང་པ་བཀྲ་ཤིས་དཔལ།,1142,0,,NULL,1209,0,1210,NULL,M,,Taklungtangpa Tashi Pel,stag lung thang pa bkra shis dpal,NULL,NULL
4372,P2652,Peling Tukse,Dawa Gyeltsen,pad gling thugs sras,zla ba rgyal mtshan,ཟླ་བ་རྒྱལ་མཚན།,1499,0,,NULL,1587,0,,NULL,M,,"The First Peling Tukse, Dawa Gyeltsen",pad gling thugs sras 01 zla ba rgyal mtshan,1,NULL
4379,P2659,Gangteng,Pema Trinle,sgang steng,pad+ma 'phrin las,པདྨ་འཕྲིན་ལས།,1564,0,,NULL,1642,0,,NULL,M,,"The First Gangteng, Pema Trinle",sgang steng 01 pad+ma 'phrin las,1,NULL
4380,P266,Tatsak Jedrung,Ngawang Lobzang Tenpai Gyeltsen,rta tshag rje drung,ngag dbang blo bzang bstan pa'i rgyal mtshan,ངག་དབང་བློ་བཟང་བསྟན་པའི་རྒྱལ་མཚན།,1811,0,,NULL,1848,0,,NULL,M,,"The Ninth Tatsak Jedrung, Ngawang Lobzang Tenpai Gyeltsen",rta tshag rje drung 09 ngag dbang blo bzang bstan pa'i rgyal mtshan,9,NULL
4402,P268,,Yangchen Drupai Dorje,,dbyangs can grub pa'i rdo rje,དབྱངས་ཅན་གྲུབ་པའི་རྡོ་རྗེ།,1809,0,,NULL,1887,0,,NULL,M,,Yangchen Drupai Dorje,dbyangs can grub pa'i rdo rje,NULL,NULL
4425,P270,,Patrul Orgyen Jigme Chokyi Wangpo,,dpal sprul o rgyan 'jigs med chos kyi dbang po,དཔལ་སྤྲུལ་ཨོ་རྒྱན་འཇིགས་མེད་ཆོས་ཀྱི་དབང་པོ།,1808,0,,NULL,1887,0,,NULL,M,,Patrul Orgyen Jigme Chokyi Wangpo,dpal sprul o rgyan 'jigs med chos kyi dbang po,NULL,NULL
4469,P274,Dalai Lama,Lungtok Gyatso,ta la'i bla ma,lung rtogs rgya mtsho,ལུང་རྟོགས་རྒྱ་མཚོ།,1805,0,,NULL,1815,0,,NULL,M,,"The Ninth Dalai Lama, Lungtok Gyatso",ta la'i bla ma 09 lung rtogs rgya mtsho,9,NULL
4478,P2748,Gangteng,Orgyen Trinle Dorje,sgang steng,o rgyan 'phrin las rdo rje,ཨོ་རྒྱན་འཕྲིན་ལས་རྡོ་རྗེ།,1906,0,,NULL,1949,0,,NULL,M,,"The Eighth Gangteng, Orgyen Trinle Dorje",sgang steng 08 o rgyan 'phrin las rdo rje,8,NULL
4487,P2756,Ganden Tripa,Lobzang Chopel,dga' ldan khri pa,blo bzang chos 'phel,བློ་བཟང་ཆོས་འཕེལ།,1650,0,,67,1725,0,,70,M,,"The Forty-Seventh Ganden Tripa, Lobzang Chopel",dga' ldan khri pa 47 blo bzang chos 'phel,47,NULL
4488,P2757,Ganden Tripa,Dondrub Gyatso,dga' ldan khri pa,don grub rgya mtsho,དོན་གྲུབ་རྒྱ་མཚོ།,1655,0,,NULL,1727,0,,NULL,M,,"The Forty-Eighth Ganden Tripa, Dondrub Gyatso",dga' ldan khri pa 48 don grub rgya mtsho,48,NULL
4489,P2758,Ganden Tripa,Lobzang Dargye,dga' ldan khri pa,blo bzang dar rgyas,བློ་བཟང་དར་རྒྱས།,1662,0,,NULL,1723,0,,NULL,M,,"The Forty-Ninth Ganden Tripa, Lobzang Dargye",dga' ldan khri pa 49 blo bzang dar rgyas,49,NULL
4490,P2759,Ganden Tripa,Pelden Drakpa,dga' ldan khri pa,dpal ldan grags pa,དཔལ་ལྡན་གྲགས་པ།,NULL,0,,NULL,1729,0,,NULL,M,,"The Fifty-First Ganden Tripa, Pelden Drakpa",dga' ldan khri pa 51 dpal ldan grags pa,51,NULL
4492,P2760,Ganden Tripa,Gyeltsen Sengge,dga' ldan khri pa,rgyal mtshan seng+ge,རྒྱལ་མཚན་སེངྒེ།,1678,0,,NULL,1756,0,,NULL,M,,"The Fifty-Third Ganden Tripa, Gyeltsen Sengge",dga' ldan khri pa 53 rgyal mtshan seng+ge,53,NULL
4493,P2761,Ganden Tripa,Ngawang Namkha Zangpo,dga' ldan khri pa,ngag dbang nam mkha' bzang po,ངག་དབང་ནམ་མཁའ་བཟང་པོ།,1690,1,,NULL,1750,0,1749,NULL,M,,"The Fifty-Fifth Ganden Tripa, Ngawang Namkha Zangpo",dga' ldan khri pa 55 ngag dbang nam mkha' bzang po,55,NULL
4494,P2762,Ganden Tripa,Lobzang Drime,dga' ldan khri pa,blo bzang dri med,བློ་བཟང་དྲི་མེད།,1683,0,,NULL,NULL,0,,NULL,M,,"The Fifty-Sixth Ganden Tripa, Lobzang Drime",dga' ldan khri pa 56 blo bzang dri med,56,NULL
4495,P2763,Ganden Tripa,Samten Puntsok,dga' ldan khri pa,bsam gtan phun tshogs,བསམ་གཏན་ཕུན་ཚོགས།,1703,0,,NULL,1770,0,,NULL,M,,"The Fifty-Seventh Ganden Tripa, Samten Puntsok",dga' ldan khri pa 57 bsam gtan phun tshogs,57,NULL
4496,P2764,Ganden Tripa,Ngawang Chodrak,dga' ldan khri pa,ngag dbang chos grags,ངག་དབང་ཆོས་གྲགས།,1707,0,,NULL,1778,0,,NULL,M,,"The Fifty-Eighth Ganden Tripa, Ngawang Chodrak",dga' ldan khri pa 58 ngag dbang chos grags,58,NULL
4497,P2765,Ganden Tripa,Ngawang Chodrak,dga' ldan khri pa,ngag dbang chos grags,ངག་དབང་ཆོས་གྲགས།,1710,0,,NULL,1772,0,,NULL,M,,"The Fifty-Ninth Ganden Tripa, Ngawang Chodrak",dga' ldan khri pa 59 ngag dbang chos grags,59,NULL
4498,P2766,Ganden Tripa,Lobzang Tenpa,dga' ldan khri pa,blo bzang bstan pa,བློ་བཟང་བསྟན་པ།,1725,0,,NULL,1782,0,,NULL,M,,"The Sixtieth Ganden Tripa, Lobzang Tenpa",dga' ldan khri pa 60 blo bzang bstan pa,60,NULL
4499,P2767,Ganden Tripa,Lobzang Monlam,dga' ldan khri pa,blo bzang smon lam,བློ་བཟང་སྨོན་ལམ།,1729,0,,NULL,1798,0,,NULL,M,,"The Sixty-Second Ganden Tripa, Lobzang Monlam",dga' ldan khri pa 62 blo bzang smon lam,62,NULL
4500,P2768,Ganden Tripa,Lobzang Khechok,dga' ldan khri pa,blo bzang mkhas mchog,བློ་བཟང་མཁས་མཆོག།,1736,0,,NULL,1792,0,,NULL,M,,"The Sixty-Third Ganden Tripa, Lobzang Khechok",dga' ldan khri pa 63 blo bzang mkhas mchog,63,NULL
4501,P2769,Ganden Tripa,Lobzang Tashi,dga' ldan khri pa,blo bzang bkra shis,བློ་བཟང་བཀྲ་ཤིས།,1739,0,,NULL,1801,0,,NULL,M,,"The Sixty-Fourth Ganden Tripa, Lobzang Tashi",dga' ldan khri pa 64 blo bzang bkra shis,64,NULL
4524,P279,Rongpo Drubchen,Lobzang Chodrak Gyatso,rong po grub chen,blo bzang chos grags rgya mtsho,བློ་བཟང་ཆོས་གྲགས་རྒྱ་མཚོ།,1795,0,,NULL,1843,0,,NULL,M,,"The Fourth Rongwo Drubchen, Lobzang Chodrak Gyatso",rong po grub chen 04 blo bzang chos grags rgya mtsho,4,NULL
4535,P28,Ganden Tripa,Yeshe Zangpo,dga' ldan khri pa,ye shes bzang po,ཡེ་ཤེས་བཟང་པོ།,1415,0,,NULL,1498,0,,NULL,M,,"The Tenth Ganden Tripa, Yeshe Zangpo",dga' ldan khri pa 10 ye shes bzang po,10,NULL
4607,P2866,,Konchok Dechen,,dkon mchog bde chen,དཀོན་མཆོག་བདེ་ཆེན།,1737,0,,NULL,1796,0,,NULL,M,,Konchok Dechen,dkon mchog bde chen,NULL,NULL
4611,P287,,Zhabkar Tsokdruk Rangdrol,,zhabs dkar tshogs drug rang grol,ཞབས་དཀར་ཚོགས་དྲུག་རང་གྲོལ།,1781,0,,NULL,1851,0,,NULL,M,,Zhabkar Tsokdruk Rangdrol,zhabs dkar tshogs drug rang grol,NULL,NULL
4622,P2881,,Jigme Ngotsar Gyatso,,jigs med ngo mtshar rgya mtsho,འཇིགས་མེད་ངོ་མཚར་རྒྱ་མཚོ།,1750,0,1760,NULL,NULL,0,,NULL,M,,Jigme Ngotsar Gyatso,jigs med ngo mtshar rgya mtsho,NULL,NULL
4626,P2885,,Nubchen Sanggye Yeshe,,gnubs chen sangs rgyas ye shes,གནུབས་ཆེན་སངས་རྒྱས་ཡེ་ཤེས།,844,1,,NULL,NULL,0,,NULL,M,,Nubchen Sanggye Yeshe,gnubs chen sangs rgyas ye shes,NULL,NULL
4630,P2889,,Zurchen Shakya Jungne,,zur chen shAkya 'byung gnas,ཟུར་ཆེན་ཤཱཀྱ་འབྱུང་གནས།,1002,0,,NULL,1062,0,,NULL,M,,Zurchen Shakya Jungne,zur chen shAkya 'byung gnas,NULL,NULL
4631,P289,,Ngulchu Dharmabhadra,,dngul chu d+harma b+ha dra,དངུལ་ཆུ་དྷརྨ་བྷ་དྲ།,1772,0,,NULL,1851,0,,NULL,M,,Ngulchu Dharmabhadra,dngul chu d+harma b+ha dra,NULL,NULL
4632,P2890,,Zurchung Sherab Drakpa,,zur chung shes rab grags pa,ཟུར་ཆུང་ཤེས་རབ་གྲགས་པ།,1014,0,,NULL,1074,0,,NULL,M,,Zurchung Sherab Drakpa,zur chung shes rab grags pa,NULL,NULL
4642,P29,,Sherab Gyatso,,shes rab rgya mtsho,ཤེས་རབ་རྒྱ་མཚོ།,1884,0,,NULL,1968,0,,NULL,M,,Sherab Gyatso,shes rab rgya mtsho,NULL,NULL
4659,P2914,,Sengdruk Pema Tashi,,seng phrug pad+ma bkra shis,སེང་ཕྲུག་པདྨ་བཀྲ་ཤིས།,NULL,0,,72,NULL,0,,NULL,M,,Sengdruk Pema Tashi,seng phrug pad+ma bkra shis,NULL,NULL
4660,P2915,,Drakpa Gyeltsen,,grags pa rgyal mtshan,གྲགས་པ་རྒྱལ་མཚན།,1365,0,,NULL,1448,0,,NULL,M,,Drakpa Gyeltsen,grags pa rgyal mtshan,NULL,NULL
4665,P292,,Bipa Mipam Dawa,,bis pa dbang mi pham zla ba,བིས་པ་དབང་མི་ཕམ་ཟླ་བ།,1767,0,,NULL,1807,0,,NULL,M,,Bipa Mipam Dawa,bis pa dbang mi pham zla ba,NULL,NULL
4669,P2923,Ganden Tripa,Lekpa Gyeltsen,dga' ldan khri pa,legs pa rgyal mtshan,ལེགས་པ་རྒྱལ་མཚན།,1375,0,,NULL,1450,0,,NULL,M,,"The Fourth Ganden Tripa, Lekpa Gyeltsen",dga' ldan khri pa 04 legs pa rgyal mtshan,4,NULL
4676,P293,Dodrubchen,Jigme Trinle Wozer,rdo grub chen,jigs med 'phrin las 'od zer,འཇིགས་མེད་འཕྲིན་ལས་འོད་ཟེར།,1745,0,,NULL,1821,0,,NULL,M,,"The First Dodrubchen, Jigme Trinle Wozer",rdo grub chen 01 'jigs med 'phrin las 'od zer,1,NULL
4691,P2943,Getse Paṇḍita,Gyurme Tsewang Chokdrub,dge rtse paN Di ta,gyur med tshe dbang mchog grub,འགྱུར་མེད་ཚེ་དབང་མཆོག་གྲུབ།,1761,0,,NULL,1829,0,,NULL,M,,Getse Paṇḍita Gyurme Tsewang Chokdrub,dge rtse paN Di ta 'gyur med tshe dbang mchog grub,NULL,NULL
4720,P297,,Drakpa Gyeltsen,,grags pa rgyal mtshan,གྲགས་པ་རྒྱལ་མཚན།,1762,0,,NULL,1836,0,,NULL,M,,Drakpa Gyeltsen,grags pa rgyal mtshan,NULL,NULL
4727,P2976,Amchok,Konchok Tenpai Gyeltsen,a mchog,dkon mchog bstan pa'i rgyal mtshan,དཀོན་མཆོག་བསྟན་པའི་རྒྱལ་མཚན།,1783,0,,NULL,1848,0,,NULL,M,,"The Second Amchok, Konchok Tenpai Gyeltsen",a mchog 02 dkon mchog bstan pa'i rgyal mtshan,2,NULL
4730,P298,Gungtang,Konchok Tenpai Dronme,gung thang,dkon mchog bstan pa'i sgron me,དཀོན་མཆོག་བསྟན་པའི་སྒྲོན་མེ།,1762,0,,NULL,1823,0,,NULL,M,,"The Third Gungtang, Konchok Tenpai Dronme",gung thang 03 dkon mchog bstan pa'i sgron me,3,NULL
4820,P2DB5980,,Druk Khenpo Ngawang Yonten Gyatso,,brug mkhan po ngag dbang yon tan rgya mtsho,འབྲུག་མཁན་པོ་ངག་དབང་ཡོན་ཏན་རྒྱ་མཚོ།,1902,0,,NULL,1963,1,,NULL,M,,Druk Khenpo Ngawang Yonten Gyatso,brug mkhan po ngag dbang yon tan rgya mtsho,NULL,NULL
4903,P2JM167,,Gyelwa Chokyang,,rgyal ba mchog dbyangs,རྒྱལ་བ་མཆོག་དབྱངས།,NULL,0,,30,NULL,0,,31,M,,Gyelwa Chokyang,rgyal ba mchog dbyangs,NULL,NULL
4986,P2JM275,Dzogchen Ponlob,Namkha Chokyi Gyatso,rdzogs chen dpon slob,nam mkha' chos kyi rgya mtsho,ནམ་མཁའ་ཆོས་ཀྱི་རྒྱ་མཚོ།,1807,1,,NULL,1821,1,,NULL,M,,"The Third Dzogchen Ponlob, Namkha Chokyi Gyatso",rdzogs chen dpon slob 03 nam mkha' chos kyi rgya mtsho,3,NULL
4987,P2JM276,Dzogchen Ponlob,Jigme Choying Wosel,rdzogs chen dpon slob,jigs med chos dbyings 'od gsal,འཇིགས་མེད་ཆོས་དབྱིངས་འོད་གསལ།,1825,1,,NULL,1897,1,,NULL,M,,"The Fourth Dzogchen Ponlob, Jigme Choying Wosel",rdzogs chen dpon slob 04 'jigs med chos dbyings 'od gsal,4,NULL
5024,P2JM309,,Ngawang Norbu,,ngag dbang nor bu,ངག་དབང་ནོར་བུ།,1866,0,,NULL,1958,0,,NULL,M,,Ngawang Norbu,ngag dbang nor bu,NULL,NULL
5041,P2JM325,,Gelek Namgyel,,dge legs rnam rgyal,དགེ་ལེགས་རྣམ་རྒྱལ།,1860,0,,NULL,NULL,0,,NULL,M,,Gelek Namgyel,dge legs rnam rgyal,NULL,NULL
5044,P2JM328,,Tsering Norbu,,tshe ring nor bu,ཚེ་རིང་ནོར་བུ།,NULL,0,,75,NULL,0,,NULL,M,,Tsering Norbu,tshe ring nor bu,NULL,NULL
5048,P2JM331,,Konchok Zangpo,,dkon mchog bzang po,དཀོན་མཆོག་བཟང་པོ།,1862,0,,NULL,NULL,0,,NULL,M,,Konchok Zangpo,dkon mchog bzang po,NULL,NULL
5078,P2JM359,,Gyurme Wosel,,gyur med 'od gsal,འགྱུར་མེད་འོད་གསལ།,1890,1,,NULL,1920,1,,NULL,M,,Gyurme Wosel,gyur med 'od gsal,NULL,NULL
5099,P2JM378,,Pema Tsewang Gyatso,,pad+ma tshe dbang rgya mtsho,པདྨ་ཚེ་དབང་རྒྱ་མཚོ།,1902,0,,NULL,1959,0,,NULL,M,,Pema Tsewang Gyatso,pad+ma tshe dbang rgya mtsho,NULL,NULL
5115,P2JM392,,Wozer Taye,,od zer mtha' yas,འོད་ཟེར་མཐའ་ཡས།,1925,0,,78,1950,0,,79,M,,Wozer Taye,od zer mtha' yas,NULL,NULL
5117,P2JM394,,Konchok Yeshe Wozer,,dkon mchog ye shes 'od zer,དཀོན་མཆོག་ཡེ་ཤེས་འོད་ཟེར།,1892,0,,NULL,1958,0,,NULL,M,,Konchok Yeshe Wozer,dkon mchog ye shes 'od zer,NULL,NULL
5120,P2JM397,,Tenzin Chozang,,bstan 'dzin chos bzang,བསྟན་འཛིན་ཆོས་བཟང།,NULL,0,,NULL,1959,0,,NULL,M,,Tenzin Chozang,bstan 'dzin chos bzang,NULL,NULL
5121,P2JM398,,Chonam,,chos rnam,ཆོས་རྣམ།,NULL,0,,77,NULL,0,,NULL,M,,Chonam,chos rnam,NULL,NULL
5122,P2JM399,,Tsering Chojor,,tshe ring chos 'byor,ཚེ་རིང་ཆོས་འབྱོར།,1928,0,,NULL,1959,0,,NULL,M,,Tsering Chojor,tshe ring chos 'byor,NULL,NULL
5137,P2JM411,Chakra Tulku,Ngawang Tendzin Lhundrub,lcags ra sprul sku,ngag dbang bstan 'dzin lhub grub,ངག་དབང་བསྟན་འཛིན་ལྷུབ་གྲུབ།,1671,0,,NULL,1727,0,,NULL,M,,"The Fifth Chakra Tulku, Ngawang Tendzin Lhundrub",lcags ra sprul sku 05 ngag dbang bstan 'dzin lhub grub,5,NULL
5151,P2JM424,Simda Dzogchen Tulku,Orgyen Samten,srib mda' rdzogs chen sprul sku,o rgyan bsam gtan,ཨོ་རྒྱན་བསམ་གཏན།,1647,0,,NULL,1735,0,,NULL,M,,"The First Simda Dzogchen Tulku, Orgyen Samten",srib mda' rdzogs chen sprul sku 01 o rgyan bsam gtan,1,NULL
5159,P2JM431,Simda Dzogchen Tulku,Kunzang Pema Wanggyel,srib mda' rdzogs chen sprul sku,kun bzang pad+ma dbang rgyal,ཀུན་བཟང་པདྨ་དབང་རྒྱལ།,1736,0,,NULL,1784,0,,NULL,M,,"The Second Simda Dzogchen Tulku, Kunzang Pema Wanggyel",srib mda' rdzogs chen sprul sku 02 kun bzang pad+ma dbang rgyal,2,NULL
5164,P2JM436,Zhechen Rabjam,Peljor Gyatso,zhe chen rab 'byams,dpal 'byor rgya mtsho,དཔལ་འབྱོར་རྒྱ་མཚོ།,1771,0,,NULL,1807,0,,NULL,M,,"The Third Shechen Rabjam, Peljor Gyatso",zhe chen rab 'byams 03 dpal 'byor rgya mtsho,3,NULL
5166,P2JM438,Zhechen Rabjam,Garwang Chokyi Gyeltsen,zhe chen rab 'byams,gar dbang chos kyi rgyal mtshan,གར་དབང་ཆོས་ཀྱི་རྒྱལ་མཚན།,1811,1,,NULL,1862,0,,NULL,M,,"The Fourth Zhechen Rabjam, Garwang Chokyi Gyeltsen",zhe chen rab 'byams 04 gar dbang chos kyi rgyal mtshan,4,NULL
