Name ,TOL ID,Root Community ID,Root Community Type,Wylie,Name Variants,Chinese,Description,BDRC ID,Members - Person ID
Ngupa,TOL680,4,Clan,rngu pa,,,"<p> The Ngupa clan is presumably of Kham, where member <a href=""/biographies/view/Jampa-Bum/TBRC_P1492"">Jampa Bum</a> was born in the twelfth century.</p>",C11MS213,2781
Nub,TOL49,4,Clan,gnubs,snubs,,"<p> In pre-imperial times, there were said to be twelve kingdoms, one of which was Nubyul, controlled by the Nub family, in present-day Rinpung. <a href=""/biographies/view/Namkhai-Nyingpo/TBRC_P7743"">Namkhai Nyingpo</a>, one of the first seven Tibetans ...",C-NUMBER,1108; 2798; 2799; 4626; 6749; 8460; 9688; 10083; 11299; 12553; 13241
Nya,TOL1090,4,Clan,gnya',,,"<p> The Nya family originated with <a href=""/biographies/view/Nyawa-Chozang/TBRC_P4997"">Nyawa Chozang</a>, one of the nine learned physicians who served in the imperial court during the time of <a href=""/biographies/view/Tri-Songdetsen/TBRC_P7787"">Tri S...",C1KT11,6567; 6568
Nyak,TOL168,4,Clan,gnyags,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">A clan from the time of Tibet&#39;s Yarlung or Pugyel dynasty. King Nyatri Tsenpo&#39;s minister was from the Nyak clan<...",C-NUMBER,5078
Nyakre,TOL946,4,Clan,nyag ras,,,"<p> The Nyakre clan, likely native to Kham, includes&nbsp;<a href=""/biographies/view/Drubtob-Nyakre-Sewo/TBRC_P1AG13"">Drubtob Nyakre Sewo</a>, the twelfth century disciple of <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a> and <a href=""/...",,13440
Nyakshul,TOL635,4,Clan,nyag shul,,,"<p> The Nyakshul clan was known as a warrior clan in their region of Kham. Nyakshul Khenpo <a href=""/biographies/view/Gyurme-Osel/TBRC_P2JM359"">Gyurme Osel</a> was born to this clan in a nomadic community in Kham around the year 1890.</p>",C11MS202,5078
Nyang,TOL169,4,Clan,myang,,,"<p> Also spelled nyang.&nbsp;<span style=""font-family: arial, sans, sans-serif; font-size: 13px;"">In pre-imperial times, there were said to be 12 kingdoms or principalities. One of these was controlled by the Nyang clan. The clan lived in the Nyangtri (...",C11MS130,5999; 6205; 6856; 10301
Nyo,TOL636,4,Clan,gnyos,,,"<p> The Nyo clan held religious and secular influence over the southern stretch of the Tibetan plateau, including parts of Bhutan, for a few centuries, beginning with the Gyaton Aryadeva&#39;s (rGya ston A rya de ba) offering of land to Nyo Lotsawa (gNy...",C11MS190,2789; 3000; 9394; 13142; 13231
Pakpatsang,TOL677,4,Clan,phags pa tshang,,,"<p> A family belonging to the Zamtsa Ngorang clan. The Fifty-fifth Ganden Tripa, <a href=""/biographies/view/Ngawang-Namkha-Zangpo/TBRC_P2761"">Ngawang Namkha Zangpo</a> was born to this family. It seems likely that the clan was settled around a small tow...",,
Pugyel,TOL656,4,Clan,spu rgyal,,,"<p> Pugyel is the name of a Tibetan royal lineage based in Yarlung. It likely derived from the name of a mythical ancestor, Olde Pugyel, who may be the same figure as Nyatri Tsenpo, who is said to have initiated the Yarlung dynasty in 390 BC. The dynast...",C-NUMBER,13509; 13566
Ra,TOL570,4,Clan,dbra,dbra dkar po; dbra nag po; Ra Clan,,"<p> The Ra clan is divided into two branches, the Rakarpo and the Ranakpo. The clan originated in eastern Tibet, and while several branches later settled in central Tibet, the majority continue to be based in Kham and Amdo. The clan is largely supporter...",C11MS181,6668; 13220; 13221; 13531
Rakar Khyungpo,TOL639,4,Clan,,,,"<p> Yungdrung Yeshe, the twenty-third lineage holder of the Atri system of Bon Dzogchen practice, was born to the Rakar Khyungpo clan in the 17th century in Gyelrong.</p>",C-NUMBER,13222
Ram,TOL549,4,Clan,ram,,,"<p> The Ram clan is one of the eighteen tribes (tsho) of the Sino-Tibetan frontier. These are all sub-clans of the primary Go (sgo) clan, known also as the heavenly lineage of Go, which is considered one of the original Tibetan ancestral clans. &nbsp;<s...",C11MS206,13199
Rok,TOL640,4,Clan,Rog,,,"<p> The Rok clan dates to the early dissemination of the Buddhist teachings in Tibet, the so-called <em>Tenpa Ngadar</em> (<em>bstan pa snga dar</em>). The first major figure of this clan was Rok Namkha Yeshe (rog nam mkha&#39; ye shes), one of two brot...",C11MS214,6134; 6721; 6726
Sanam,TOL651,4,Clan,sa gnam,,,"<p> The Sanam clan is a branch of the ancient <a href=""/communities/view/Khyungpo/TBRC_C11MS134"">Khyungpo</a> clan. In the fifteenth and sixteenth centuries, the Sanam clan was affiliated with the ruling house of Mustang; it was into this family that <a...",,10497
Se,TOL222,4,Clan,bse,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">One of the four original Tibetan ancestral clans. According to the 15th century bshad mdzod chen mo, the four sons of Se...",C11MS174,2854; 6025; 6505; 8027
Shar,TOL610,4,Clan,,,,,,
Shar,TOL608,4,Clan,shar,,,"<p> The Shar was one of four families &ndash; Shar, Nub, Gung and Khangsar&nbsp; &ndash; that were aligned with Sakya Monastery and which did not directly descend from the Khon clan. The name Shar originates with the activities of <a href=""/biographies/...",C-NUMBER,5408
Sharkhapa,TOL94,4,Clan,shar kha pa,Sharkha;,,"<p> The Sharkhapa family was one of the princely families of Gyantse. Members of this family ruled a large area of Tsang provice from their fortress at Gyantse (rgyal rtse). <span class=""biog-name-large""><a href=""/biographies/view/Drubchen-Kunga-Lodro/T...",C68,4167
Shingkhamga,TOL653,4,Clan,shing khams sga,,,"<p> Shingkhamga clan was a sub-clan of the Nyo lineage. Its most prominent member was <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_P258"">Jamyang Khyentse Wangpo</a>, born outside of the Derge capital in 1820.</p>",C11MS222,4291
Shupu,TOL65,4,Clan,shud phu,shud pu; shud bu; shubu,,"<p> This clan originated in the ninth century during Tibet&#39;s Yarlung dynasty. As the dynasty disintegrated after the assasination of Udum Tsenpo, the Shupu clan seized control of Lhodrak.</p>",C-NUMBER,2593; 5817; 5818; 5819; 6653
Sumpa,TOL655,4,Clan,sum pa,,,"<p> Sumpa is one of the three lineages of the East (smad khams rus rigs gsum), as classified in the 15th century bshad mdzod. The Sumpa were in the north and Tsongon (mtsho sngon) area, and there&#39;s a place called Sumpa, associated with the clan, in ...",,
Tati Zhamar,TOL642,4,Clan,pra ti zhwa dmar rigs,,,,,5902
Tong,TOL577,4,Clan,stong,Achak Dru; Athang Dru; Dri; Achak Dri; Chakmo,,"<p> One of the Four Great Ancestral Clans along with Se, Mu and Dong (and Five Great Ancestral Clans if Zhingbo Go is included). According to the Treasury of the Ancestral Clans of Tibet, also known as Dri, Achak Dri and Chakmo. The clan spread widely i...",C11MS139,7775; 13196
Tonmi,TOL646,4,Clan,thon mi,,,"One of the clans during the time of the Yarlung dynasty. Sambota of the Tonmi clan, one of King Songtsen Gampo&#39;s minister, is famed for creating the Tibetan alphabet.",C11MS226,8342
Trokho Numai Pelshul,TOL643,4,Clan,khro kho nu ma'i dpal shul,,,"<p> The <a href=""/biographies/view/Sixth-Hortsang-Sertri-Lobzang-Pelden-Gyatso/TBRC_P5418"">Sixth Hortsang Sertri Lobzang Pelden Gyatso</a> was born in the clan of Trokho Numai Pelshul in Darlung (dar lung) near Yumik (g.yu rmig) in Amdo in 1913.</p>",C11MS194,7937
Trotsik,TOL458,4,Clan,spro tshig,,,"<p> A clan. <a href=""/biographies/view/Ngawang-Tendzin/TBRC_P3537"">Ngawang Tendzin</a>, the fouth abbot of Labrang Monastery, was born to the Trotsik clan in Ngawa, Amdo in 1696.</p>",C-NUMBER,
Tsangsar,TOL1540,4,Clan,gtshang sar,,,"<p> The Tsangsar clan in Nangchen controlled several monateries, including <a href=""/geographies/view/Lachab/TBRC_G1KR2864"">Lachab</a> and <a href=""/geographies/view/Lhalam/TBRC_G2635"">Lhalam</a>. <a href=""/biographies/view/Konchok-Peldron/13692"">Koncho...",,13686
Tsedong,TOL284,4,Clan,rtse gdong,,,"<p> The Tsedong clan oversaw the Tsedong estate, which was affiliated with the <a href=""/geographies/view/Tsedong-monastery/TBRC_G3550"">Tsedong Monastery</a>. Located near the Brahmaputra river in Namling, the Tsedong hierarchs were affiliated with the ...",C11MS216,4220
Tseu Jamshul,TOL681,4,Clan,rtse dbus byams shul,,,"<p> A division of the ancient Dong clan, Tseu Jamshul is an clan that was highly regarded by Bonpos in ancient times. The <a href=""/biographies/view/Fiftieth-Ganden-Tripa,-Gendun-Puntsok/TBRC_P1849"">Fiftieth Ganden Tripa, Gendun Puntsok</a> was a member...",,3173
Tsongpon,TOL969,4,Clan,tshong dpon,,,"<p> The Tsongpon family hailed from the Rudam Kyitram valley in Kham. The First Abbot of <a href=""http://www.treasuryoflives.org/geographies/view/Dzogchen-Monastery/TBRC_G16"">Dzogchen Monastery</a>&#39;s&nbsp;<a href=""/geographies/view/Śrī-Siṃha-Col...",,4659
Tsur,TOL1382,4,Clan,mtshur,,,"<p> Members of The Tsur clan include <a href=""https://treasuryoflives.org/biographies/view/Tsur-Lots%C4%81wa-Yeshe-Jungne/P4308"">Tsur Lotsāwa Yeshe Jungne</a>,&nbsp;<a href=""https://treasuryoflives.org/biographies/view/Lots%C4%81wa-Tsurton-Wangne/TBRC_...",,5386; 6733
Tukwan,TOL644,4,Clan,thu'u bkwan,,,"<p> Tukwan is the Tibetan rendering of the Chinese Tuguan, which denotes a type of local official or chieftain within the Monguor communities of Amdo.&nbsp;The important Tukwan incarnation lineage takes its name from this term, as the First Tukwan, <a h...",C2CN10968,3008; 5899
Tum,TOL513,4,Clan,gtum,,,"<p> <a href=""/biographies/view/Tumton-Lodro-Drakpa/TBRC_P3446"">Tumton Lodro Drakpa</a>, the founder of Nartang Monastery, was born into the Tum clan in the village of Wumang (dbu mang) in Tsang in 1106.</p>",C11MS191,5790
Wangda,TOL588,4,Clan,dbang mda',,,"<p> The Wangda was one of eight great tribal groups of Pema Bum in Golok. &nbsp;<span data-sheets-userformat=""[null,null,513,[null,0],null,null,null,null,null,null,null,null,0]"" data-sheets-value=""[null,2,"" dongak="""" japa="""" style=""font-size:13px;font-f...",C11MS180,12785
Wangyak,TOL620,4,Clan,dbang yag,,,"<p> A sub-family belonging to the Dong clan. Donggom Zhikpo, born in the 13th century in a place called Chukyur Long (chu skyur klong) in the eastern part of Dome (mdo smad), belonged to the Wangyak family of the Dong clan.</p>",,
Welshul,TOL438,4,Clan,dbal shul,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 13px; white-space: pre-wrap;"">The clan name Welshul comes from the nomadic area Welshul in Amdo. Traditionally, the Welshul clan acted as important leaders in nomadic...",C11MS179,2943
Wodren,TOL58,4,Clan,o bran,,,"<p> The Wodren clan still preserves and practices the oral teachings of the spoken word lineage of Nyingma teachings. <span class=""biog-name-large""><a href=""/biographies/view/Odren-Pelgyi-Wangchuk/TBRC_P3AG55"">Wodren Pelgyi Wangchuk</a>, one of the twen...",C11MS203,13058
Yi,TOL463,4,Clan,g.yi,,,"<p> <a href=""/biographies/view/Rabten-Gyatso/TBRC_P4332"">Rabten Gyatso</a>, the eighteenth throneholder of Labrang Monaster, was born in 1723 to the Yi clan in Lusho (klu shod).</p>",C11MS187,6760
Yu,TOL252,4,Clan,g.yu,,,"<p> Dampa Yuzhik, born in the 13th century and the third lineage holder of the <em>Nyengyu Rigpa Chertong</em> cycle of Dzogchen teachings, belonged to the Yu clan on his father&#39;s side. His mother was from the Khyung clan.&nbsp;</p>",C-NUMBER,13081
Yudra,TOL578,4,Clan,g.yu sgra,,,"<p> It seems as if the Yudra clan had a non-Tibetan origin and they weren&#39;t ethnically Tibetan. The famed translator <a href=""/biographies/view/Rinchen-Zangpo/TBRC_P753"">Rinchen Zangpo</a> was a member of the Yudra clan.</p>",C11MS132,10199
Yungok,TOL580,4,Clan,g.yu rngog,,,"<p> <a href=""/biographies/view/Samten-Gyatso/TBRC_P1003"">Samten Gyatso</a>, a 17th century figure and the third abbot of Rongwo Monastery, belonged to the Yungok clan.</p>",C11MS188,1564
Zamtsa Ngorang,TOL676,4,Clan,zam tsha ngo rang,,,"<p> It seems likely that the clan was settled around a small town called Dentang (ldan thang) in Amdo. The Fifty-fifth Ganden Tripa, <a href=""/biographies/view/Ngawang-Namkha-Zangpo/TBRC_P2761"">Ngawang Namkha Zangpo</a> was born to the Pakpatsang family...",C-NUMBER,
Zeu,TOL550,4,Clan,ze'u,,,"<p> A clan. <a href=""http://treasuryoflives.org/biographies/view/Zeu-Drakpa-Tsondru/TBRC_P1304"">Zeu Drakpa Tsondru</a>, the 10th abbot of Nartang Monastery, and <a href=""http://treasuryoflives.org/biographies/view/Zeu-Drakpa-Sherab/TBRC_P1303"">Zeu Drakp...",,2578
Zhak,TOL645,4,Clan,bzhag,,,"<p> The Zhak clan was a traditionally Bonpo clan. <a href=""/biographies/view/Gomchen-Barwa/TBRC_P3AG3"">Gomchen Barwa</a> was born to this clan in the late 11th century in Upper Nyang (nyang stod).</p>",C11MS177,13087
Zhang,TOL164,4,Clan,zhang,,,"<p> The Zhang clan was traditionally affiliated with Bon. <a href=""/biographies/view/Drilungpa-Tsultrim-Sherab/TBRC_P3AG5"">Drilungpa Tsultrim Sherab</a> ('bri lung pa tshul khrims shes rab) was born in Tolung in the twelfth century into a family that be...",,
Zhangpa,TOL1375,4,Clan,,,,"<p> According to his autobiography Zhuchen Tsultrim Rinchen belonged to the Zhangpa (zhang pa) clan (<em>rus</em>), which he claimed had included many skilled artists who came before him.</p>",,10699
Zhiwatsang,TOL670,4,Clan,zhi ba tshang,,,"<p> The Zhiwatsang family were wealthy descendants of a royal lineage in Nyarong. <a href=""/biographies/view/Lerab-Lingpa/TBRC_P5970"">Lerab Lingpa</a>, also called Terton Sogyel, a prominent Nyingma treasure revealer from&nbsp; Kham who was a teacher to...",C11MS227,8538
Zi,TOL74,4,Clan,gzi / zi,,,"<p> The Zi clan had a long history of Nyingma tantric teachings. <a href=""/biographies/view/Lhachuk-Kharwa-Nyida-O/TBRC_P4139"">Lhachuk Kharwa Nyida O</a>, one of the four main disciples of Lama Zhang Yudrakpa, was born to the Zi clan in the Dol area of ...",C11MS192,6547
Zira,TOL203,4,Clan,bzi ra,,,"<p> Clan. Family from the Budkang Da (bud khang mda&#39;) district of Dzamtang in Amdo. <a href=""/biographies/view/Ngawang-Lodro-Drakpa/TBRC_P6167"">Ngawang Lodro Drakpa</a> was born into this family in 1920.</p>",C11MS178,8752
Zur,TOL230,4,Clan,zur,,,"<p> The Zur Clan was&nbsp;a major supporter of the early Nyingma tradition in central Tibet. Their&nbsp;ancestry is traced to India, to a man named Osel Lhawang Zhonnu Tsuktorchen (&#39;od gsal lha dbang gzhon nu gtsug tor can).</p>",C-NUMBER,4630; 4632; 11352
Dekhar,TOL1583,689,Lhasa Aristocracy,bde mkhar,Lukhang; klu khang,,"<p> Dekhar, also known as Lukhang, was a Kudrag family originating in U in central Tibet. <a href=""/biographies/view/Tsewang-Rabten/TBRC_P5387"">Tsewang Rabten</a>, who served in numerous government posts including Prime Minister, was the family&#39;s mo...",C24,13724
Delek Rabten,TOL1571,689,Lhasa Aristocracy,bde legs rab brtan,,,"<p> The Delek Rabten family was a noble gerpa family from Shigatse whose members included <a href=""/biographies/view/Tsawa-Tulku/TBRC_P1160"">Tsawa Tulku</a>, <a href=""/biographies/view/General-Dingja/TBRC_P2265"">General Dingja</a>,&nbsp;Dorje Yugyal (al...",C2CN11019,2418; 3950
Dokhar,TOL1590,689,Lhasa Aristocracy,mdo mkhar,rag kha shar,,"<p> Dokhar, also known as Rakhashar, was a depon family originating in Taklung to the north of Lhasa. The family was affiliated with <a href=""/geographies/view/Taklung-monastery/TBRC_G67"">Taklung Monastery</a> and also had a town house in Lhasa near the...",C10,9343; 13788
Doring,TOL671,689,Lhasa Aristocracy,rdo ring,,,"<p> The Doring family, also known as the Gazhi, ruled over Nakchu during the time of Ganden Podrang rule.&nbsp;The family's Gazhi estate lay north of Gyantse. The family became powerful with <a href=""/biographies/view/Sonam-Gyalpo/TBRC_P347"">Sonam Gyelp...",C8,3738; 5306
Kyitopa,TOL1328,689,Lhasa Aristocracy,skyid stod pa,,,"<p> Kyitopa, a Kudrak family, first entered the higher strata of Tibetan government when Kyitod Sonam Puntsok was appointed the Governor of Western Tibet (To Garpon) in 1751. According to Petech, the estates were assumed by the Rampa family at some poin...",C16,
Lhagyari,TOL1076,689,Lhasa Aristocracy,lha rgya ri,,,"<p> The Lhagyari is a prominent family that descends from the ancient Yarlung emperors, through the line of <a href=""/biographies/view/Osung/TBRC_P8LS13668"">Osung</a>, the son of King <a href=""/biographies/view/Tri-Udumtsen/TBRC_P2MS13219"">Tri Udumtsen<...",C12,11796; 12865; 13534; 13535; 13536; 13537; 13538; 13539; 13541; 13542; 13543; 13558; 13559; 13560; 13561; 13562; 13563; 13564
Marlampa,TOL1584,689,Lhasa Aristocracy,rmar lam pa,smar lam pa,,"<p> Marlampa was one of five Gerpa families of Nyemo located to the west of Lhasa. Around sixty families lived at their estate. These families were a mixture of owners and lessees of their land, which was used for growing a variety of foods, as well as ...",,13724
Shatra,TOL1495,689,Lhasa Aristocracy,bshad sgra,bshad grwa,,"<p> The Shatra Wokpa (bshad sgra 'og pa) family traces its history back at least to the time of the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_P37"">Fifth Dalai Lama</a>. The name, which was originally Shara Worpa (sha ra 'or pa), taken from a a re...",C42,9301
Surkhang,TOL1047,689,Lhasa Aristocracy,zur khang,zurkhang,,"<p> The Surkhangs were an important Lhasa family with members in prominent government posts. They were from the midrak (mi drag) rank of aristocracy. The family originally came from Ladakh and settled in Lhasa during the time of the <a href=""/biographie...",C38,2423; 11790; 11798
Tsarong,TOL1132,689,Lhasa Aristocracy,tsha rong,,,"<p> Originally from Sakya, the aristocratic Tsarong family claims descent from the famous medical master Yutok Yonten Gonpo. In the early 1910s, <a href=""/biographies/view/Tsarong-Dasang-Damdul,/TBRC_P5410"">Tsarong Dasang Damdul,</a> would become the Co...",C35,7929; 9305; 13583; 13625
Yabzhi Langdun,TOL930,689,Lhasa Aristocracy,yab gzhis glang mdun,,,"<p> Yabzhi Langdun refers to the family members of the <a href=""/biographies/view/Thirteenth-Dalai-Lama,-Tubten-Gyatso/TBRC_P197"">Thirteenth Dalai Lama, Tubten Gyatso</a>.&nbsp;The custom of granting Yabzhi status to families of the Dalai Lamas began du...",C1,9287; 9289; 13722
Yabzhi Lhalu (earlier),TOL933,689,Lhasa Aristocracy,yab gzhis lha klu,,,"<p> The earlier Yabzhi Lhalu refers to the family of the <a href=""/biographies/view/Eighth-Dalai-Lama,-Jampel-Gyatso/TBRC_P109"">Eighth Dalai Lama, Jampel Gyatso</a>. The family was ennobled with Yabzhi status, according to the custom that began with the...",C6,13428
Yabzhi Lhalu (later),TOL940,689,Lhasa Aristocracy,yab gzhis lha klu,lha klu dga' tshal,,"<div> The later Yabzhi Yutok refers to the family of the<a href=""/biographies/view/-Twelfth-Dalai-Lama,-Trinle-Gyatso/TBRC_P244""> Twelfth Dalai Lama, Trinle Gyatso</a>, whose father, <a href=""/biographies/view/Puntsok-Tsewang/TBRC_P2LS179"">Puntsok Tsewa...",C7,13427
Yabzhi Punkhang,TOL931,689,Lhasa Aristocracy,yab gzhi phun khang,phun tshogs khang gsar,,"<p> Yabzhi Punkhang refers to the family members of the <a href=""/biographies/view/Eleventh-Dalai-Lama,-Khedrub-Gyatso/TBRC_P255"">Eleventh Dalai Lama, Khedrub Gyatso</a>. The custom of granting Yabzhi status to families of the Dalai Lamas began during t...",C2,13425
Yabzhi Sampo,TOL691,689,Lhasa Aristocracy,yab gzhis bsam pho,Yabzhi Sampho; Samdrub Podrang; sam grub pho brang,,"<p> The Yabzhi Samdrub Podrang, or Sampo, took their name from their palace Samdrub Podrang in the Zangri Valley which was built in the eighteenth century by Sonam Dargye, the father of the <a href=""/biographies/view/Seventh-Dalai-Lama/TBRC_P179"">Sevent...",C5,13226
Sadutshang,TOL1063,689,Lhasa Aristocracy,sa 'du tshang,Sadutsang,,<p> A trading family from Kandze that became one of the most successful family firms of Tibet in the twentieth century. The family&#39;s main business was exporting Tibetan wool and importing Indian and foreign goods. Their base in Lhasa was the&nbsp;<a...,C1TD19,13545; 13546; 13548; 13549
Yabzhi Yuthok,TOL932,689,Lhasa Aristocracy,yab gzhis g.yu thog,,,"<p> Yabzhi Yuthok refers to the family of the <a href=""/biographies/view/Tenth-Dalai-Lama,-Tsultrim-Gyatso/TBRC_P260"">Tenth Dalai Lama, Tsultrim Gyatso</a>. Yabzhi&nbsp;status was granted to families of the Dalai Lamas, a tradition beginning with the fa...",C4,9333; 11798; 13426
Jangling,TOL1062,1059,Family,byang gling,,,"<p> Jangling was a Lhasa trading family that married into the <a href=""/communities/view/Pangdatsang/TBRC_TOL1061"">Pangdatsang</a> family in the twentieth century.</p>",,
Pakmodrupa,TOL1202,1059,Family,phag mo gru pa,,,"<p> The Pakmodrupa dynasty, descended from the ancient <a href=""/communities/view/Lang/TBRC_C11MS142"">Lang</a> clan of Tibet&rsquo;s imperial Yarlung period, ruled Tibet from the middle of the fourteenth to the fifteenth century, after the rule of the <...",,2539
Pangdatsang,TOL1061,1059,Family,spang mda' tshang,Pomdatsang,,"<p> A trading family from Markham that moved to Lhasa and became one of the most successful family firms of twentieth century Tibet, even entering government service and aristocratic ranks. The family&#39;s Lhasa residence was <a href=""/geographies/view...",,13519; 13520; 13521; 13522; 13523
Rinpungpa,TOL1203,1059,Family,rin spungs pa,,,"The Rinpung government began with <a href=""/biographies/view/Rinpungpa-Namkha-Gyeltsen/TBRC_P4295"">Rinpungpa Namkha Gyeltsen</a>, the local leader of the Rinpung fortress and estates within the Pakmodrupa polity. Namkha Gyeltsen took the name of the fort...",C2CN11008,
