Name,TOL ID,Wylie,Tibetan,Chinese,En Name Variants,Wylie Name Variants,Tibetan Name Variants,Family Type Id,Family Type,Family Type Wylie,Family Type Tibetan,Family Type Chinese,Lhasa Aristocracy Type English,Lhasa Aristocracy Type Wylie,Lhasa Aristocracy Type Tibetan,Lhasa Aristocracy Type Chinese,Description,BDRC ID,Members
Gyakong Shedrubtsang,TOL966,rgya kong bshad sgrub tshang,རྒྱ་ཀོང་བཤད་སྒྲུབ་ཚང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Gyakong Shedrubtsang, a household from Kham near <a href=""/geographies/view/Dzogchen-Monastery/TBRC_G16"">Dzogchen Monastery</a>, was the family of the <a href=""/biographies/view/Fourth-Dzogchen-Ponlob,-Jigme-Choying-Osel/TBRC_P2JM276"">Fourth Dzogchen Ponlob, Jigme Choying Osel</a>.</p>",,4987
Gyamo,TOL678,rgya mo,རྒྱ་མོ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	We do not have much information about the Gyamo clan. The clan's most prominent member was <a href=""/biographies/view/Machik-Ongjo/TBRC_P5898"">Machik Ongjo</a>, a female lineage holder of the Rechung Nyengyum, who was born in Uyuk in the twelfth century.</p>",,8459
Gyanak Rawa,TOL1067,rgya nag ra ba,རྒྱ་ནག་ར་བ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Gyanak Rawa family is associated with Pelyul monastery in Kham. Pelyul's founder <a href=""/biographies/view/Rigdzin-Kunzang-Sherab/TBRC_P655"">Rigdzin Kunzang Sherab</a> was from this family. </p>",,7681
Gyangkhar,TOL685,gyang khar,གྱང་ཁར།,,rgyang mkhar,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Gyangkhar clan is descended from a famous minister and advisor to the Derge royal family. The First Dzogchen Kongtrul, <a href=""/biographies/view/Konchok-Tenpai-Gyeltsen/TBRC_P3AG38"">Konchok Tenpai Gyeltsen</a>, belongs to this clan.</p>",,
Gyer,TOL83,dgyer,དགྱེར།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Gyer clan, an important family of hereditary chiefs in the Yarlung Valley, controlled the <a href=""/geographies/view/Trandruk-temple/TBRC_G2820"">Trandruk temple</a>, which along with <a href=""/geographies/view/Samye/TBRC_G287"">Samye</a> and <a href=""/geographies/view/Jokhang/TBRC_G4261"">Jokhang</a>, comprise the three royal temples of Trisong Detsen; it is one of the earliest and most sacred pilgrimage sites of central Tibet. For centuries, the Gyer family maintained a close association with the Trandruk temple by virtue of its hereditary structure of leadership. The Begu branch of this clan installed the first son as religious leader of the temple while the younger son would assume their father's non-religious post of general. </p>",C11MS182,5
Gyu,TOL201,rgyus,རྒྱུས།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	We do not have much information about the Gyu clan. The Gyu's most prominent member was the thirteenth century disciple of Karma Pakshi, <a href=""/biographies/view/Orgyenpa-Rinchen-Pel/TBRC_P1448"">Orgyenpa Rinchen Pel</a>, from whom the Orgyen Nyendrub teachings originate. </p>",C11MS208,2733
Ja,TOL239,bya,བྱ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ja clan was already in existence during the Pugyel dynasty. <a href=""/biographies/view/Chekhawa-Yeshe-Dorje/TBRC_P3447"">Chekhawa Yeshe Dorje</a> and <a href=""/biographies/view/Drukchen-Jamyang-Chodrak/TBRC_P870"">Drukchen Jamyang Chodrak</a> were of the Ja clan.</p>",C11MS175,5791; 11441
Jadra,TOL973,ja sbra,ཇ་སྦྲ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Jadra was a prominent clan in Derge. Ministers for the kingdom were drawn from the Jadra clan.</p>",,
Jampel Dechenling,TOL1550,'jam dpal bde chen gling,འཇམ་དཔལ་བདེ་ཆེན་གླིང་།,,Jampel Lingpa; Jamling,jam dpal gling pa; 'jam gling,འཇམ་དཔལ་གླིང་པ། ; འཇམ་གླིང་།,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Jampel Dechenling family was a prominent family of the Drapu region of Kyirong. They trace their descent from Go Pema Guntsen ('gos padma gung btsan), a minister of Tri Songdetsen. The family controlled Drapu Choling Monastery in Kyirong for several centuries, and continues to preserve the Barawa Kagyu. They hold manuscripts of the Barawa tradition which were published as the Golden Rosary in 1970, and built a new Barawa Kagyu monastery, Tashi Choling, in Dharamsala in the 1980s.  </p>",,
Janak,TOL161,bya nag,བྱ་ནག།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	We do not have much information about the Janak clan. One of the clan's most prominent members was <span class=""biog-name-large"">The Fourth Dorje Drak Rigdzin, <a href=""/biographies/view/Pema-Trinle/TBRC_P657"">Pema Trinle</a></span>, born in 1641 at the private palace of<a href=""/geographies/view/-Monkar-Namseling/TBRC_G2813""> Monkhar Namseling</a> (mon mkhar rnam sras gling) on the south bank of the Tsangpo opposite <a href=""/geographies/view/Samye/TBRC_G287"">Samye</a>.</p>",C11MS176,9169
Jangling,TOL1062,byang gling,བྱང་གླིང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        Jangling was a Lhasa trading family that married into the <a href=""/communities/view/Pangdatsang/TBRC_TOL1061"">Pangdatsang</a> family in the twentieth century.</p>",,
Ju,TOL647,'ju,འཇུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	According to the bod kyi gdung rus zhib 'jug, this clan originated during the time of Sakya rule in Tibet which began in the mid-thirteenth century and ended about a hundred years later. <a href=""/biographies/view/Ju-Mipam-Gyatso/TBRC_P252"">Ju Mipam Gyatso</a> was of the Ju clan.</p>",C11MS193,4228
Khangsar,TOL84,khang gsar,ཁང་གསར།,,Trehor Khangsar,tre hor khang gsar,ཏྲེ་ཧོར་ཁང་གསར།,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Khangsar, literally meaning 'new house,'  is a family of the Begu clan, which is a branch of the Gyer clan. They are based in the Ganze region of Kham, and are sometimes referred to as the Trehor Khangsar.</p>",C1AG86,5
Kharchen,TOL162,mkhar chen,མཁར་ཆེན།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan from the time of the Pugyel period. <span class=""biog-name-large""><a href=""/biographies/view/Kharchen-Pelgyi-Wangchuk/TBRC_P0RK1217"">Kharchen Pelgyi Wangchuk</a> from the 8th century was born into this clan</span>. Some traditions say that he was <a href=""/biographies/view/Yeshe-Tsogyel/TBRC_P7695"">Yeshe Tsogyel</a>'s brother, which would mean that Yeshe Tsogyel was also born into the Kharchen clan.</p>",,490
Kheme,TOL1078,khe smad,ཁེ་སྨད།,,"Khemey, Kunsangtse, Kunzangtse",,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Kheme clan is also known as Kunsangtse, the name of their Lhasa manor house. This aristocratic family had close ties with the government since the time of the Fifth Dalai Lama.</p>",C17,3152
Khon,TOL184,'khon,འཁོན།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Also known as the Sakya clan, the Khon clan came into existence around the end of the Yarlung dynasty. The Khon developed the Sakya tradition in the eleventh century in the place called Sakya due to the pale soil of the valley. <a href=""/biographies/view/Khon-Konchok-Gyelpo/TBRC_p3730"">Khon Konchok Gyelpo</a> built what later developed into <a href=""/geographies/view/Sakya-Monastery/TBRC_G880"">Sakya Monastery</a> in 1073. His great-grandson <a href=""/biographies/view/Sakya-Pandita-Kunga-Gyeltsen/TBRC_p1058"">Sakya Pandita Kunga Gyeltsen</a> was regarded as the greatest scholar of his age. Kunga Gyeltsen's nephew <a href=""/biographies/view/Pakpa-Lodro-Gyeltsen/TBRC_p1048"">Pakpa Lodro Gyeltsen</a> became Imperial Preceptor under Khubilai Khan and instituted Mongol rule in Tibet, based at Sakya, that lasted until the collapse of the Yuan Dynasty in the fourteenth century. The Khon clan continues to control the Sakya tradition and Sakya Monastery.</p>",C69,1370; 1974; 2314; 2491; 2915; 2916; 2919; 3189; 3191; 3194; 3204; 3208; 3211; 4220; 4327; 6100; 7053; 7545; 9062; 10536; 10591; 13186
Khyungpo,TOL200,khyung po,ཁྱུང་པོ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Khyungpo clan dates back at least to the Yarlung Dynasty, as a number of royal priests to the Yarlung kings were from the Khyungpo clan. The origin myth of the clan goes back to a legendary ancestor, the Great Eagle (<em>khyung chen</em>), an emanation of a mythical Buddha of the upper realm. When this eagle flew back to the heavens, he left behind four eggs: white, black, yellow and green. The youths hatched from the first three eggs originated the Khyungpo tribes of Karu, Nakru, and Sertsa. The fourth youth, Khyungpak Tramo, went to Gyarong where he originated the sub-clans of Lhakhyung, Mukhyung, and Khyunggotsok. The Khyungpo clan is usually associated with the Bon tradition, but it also produced Buddhist masters such as <a href=""/biographies/view/Milarepa/TBRC_p1853"">Milarepa</a> and <a href=""/biographies/view/Khyungpo-Neljor/TBRC_p39"">Khyungpo Neljor</a>, the founder of the Shangpa Kagyu tradition, among other luminaries. The clan is associated with <a href=""/geographies/view/Khyungpo-Tengchen-Monastery/TBRC_G1KR1169"">Khyungpo Tengchen Monastery</a>.</p>",C11MS134,3178; 6285; 10644; 13081; 13088
Kyasu,TOL625,skya su,སྐྱ་སུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan, likely in Kham. <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a>, one of the most prolific treasure revealers of the nineteenth century, was born to the Kyasu clan.</p>",C11MS223,8181
Kyi,TOL153,kyi,ཀྱི།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan that may have been in the region of Dra. <span class=""biog-name-large""><a href=""/biographies/view/Kharakpa-Dulwa-O/TBRC_P2202"">Kharakpa Dulwa O</a> was born into this clan in the 12th century. </span></p>",,3881
Kyo,TOL548,skyod,སྐྱོད།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	<a href=""/biographies/view/Kyoton-Monlam-Tsultrim/TBRC_P1219"">Kyoton Monlam Tsultrim</a> was born into the Kyo clan at a place named Tanakyang (rta nag yang), in U (dbus), in 1219.</p>",C11MS224,2483
Kyuchok,TOL674,khyu mchog,ཁྱུ་མཆོག།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The <a href=""/biographies/view/Third-Hortsang-Sertri,-Jigme-Rigpai-Sengge/TBRC_P4129"">Third Hortsang Sertri, Jigme Rigpai Sengge</a> was born into the Kyuchok clan in the Hortsang region of eastern Amdo in 1747.</p>",C11MS195,
Kyura,TOL81,skyu ra,སྐྱུ་ར།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	An illustrious clan from Tsungu (tsu ngu) in Kham that claims descent from <a href=""/biographies/view/King-Relpachen/TBRC_P2MS13218"">King Relpachen</a>. It was <a href=""/biographies/view/Jikten-Gonpo-Rinchen-Pel/TBRC_P16"">Jikten Gonpo Rinchen Pel</a> from this clan who founded <a href=""/geographies/view/Drigung-Til/TBRC_G340"">Drigung Til</a> Monastery in central Tibet in 1179 and established the Drigung Kagyu tradition. With the rise of Drigung as a center of political power in the thirteenth century, the Kyura clan became one of the rivals to Sakya rule in the period of the Mongol Yuan dynasty. Kyura control of Drigung ended in the seventeenth century, replaced by two incarnation lines, the <a href=""/incarnation/view/Drigung-Chetsang/TBRC_R8LS12886"">Drigung Chetsang</a> and the <a href=""/incarnation/view/Drigung-Chungtsang/TBRC_R8LS12892"">Drigung Chungtsang</a>.</p>",,620; 2584; 2774; 2899; 3902; 3903; 3904; 3906; 3907; 7038; 7040; 7523; 13230; 13242; 13449; 13451
Lang,TOL626,rlangs,རླངས།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Lang is an aristocratic clan whose genealogical account Potiseru (po ti bse ru) tells of the clan's mythic and divine origins. The Lang is descended from the Dra clan, one of the four great Tibetan ancestral lineages. Originally from a valley of the Drichu river in Kham, members were active in government from at least the time of Tibet's Yarlung dynasty.  Later, the clan would gain prominence in association with the Pakmodru noble house and their monastery <a href=""/geographies/view/Densatil/TBRC_G434"">Densatil</a>. On the heels of waning Sakya power and the imminent fall of the Yuan dynasty, the Pakmodrupa under <a href=""/biographies/view/Jangchub-Gyeltsen/TBRC_P1224"">Jangchub Gyeltsen</a> gained control of central Tibet in the mid-14th century. In 1618, the Pakmodrupa were defeated by the Tsangpa rulers.</p>",C11MS142,96; 2539; 2595; 13437
Lasum,TOL53,la gsum,ལ་གསུམ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Lasum is a clan from at least the Pugyel period. <a href=""/biographies/view/Lasum-Gyelwa-Jangchub/TBRC_P00EGS1017608"">Lasum Gyelwa Jangchub</a><span class=""biog-name-large"">, a religious minister of King <span class=""biog-name-large"">Tri Songdetsen</span>, was one of the first seven Tibetans to be ordained by Śāntarakṣita in the 8th century. </span></p>",C11MS196,84
Len,TOL627,glan,གླན།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	<a href=""/biographies/view/Yungton-Dorje-Pel/TBRC_P1454"">Yungton Dorje Pel</a>, a disciple of the Third Karmapa, Dusum Khyenpa and considered by Geluk tradition to be the seventh predecessor in the incarnation line of the Panchen Lamas, was born into the Len clan in 1284 in Tsongdu.</p>",C11MS189,2740
Lhalung,TOL665,lha lung,ལྷ་ལུང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Lhalung clan was in existence during the Yarlung dynasty. The last king of the Yarlung dynasty, Tri Udumtsen, better known as <a href=""http://treasuryoflives.org/biographies/view/Langdarma/P2MS13219"">Langdarma</a>, is said to have been assassinated by <a href=""/biographies/view/Pelgyi-Dorje/TBRC_P6986"">Pelgyi Dorje</a> of the Lhalung clan. The clan name derives from the area of Lhalung with which the clan is associated.</p>",,9618; 13628; 13683; 13725
Lingme,TOL72,gling smad,གླིང་སྨད།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan in Tibet that branched off of the Ling or Lingtsang clan, deriving from the legendary mythic hero Ling Gesar. <a href=""/biographies/view/Lingrepa-Pema-Dorje/TBRC_P910"">Lingrepa Pema Dorje</a><span> </span>was born into the Lingme family in 1128, in upper Nyang (smyang stod), the general area that includes the city of Gyantse in south-central Tibet.</p>",,11877
Lingmo,TOL460,gling mod,གླིང་མོད།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Lingmo clan is said to have descended from Ling Gesar, the legendary epic hero <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 13px; white-space: pre-wrap;"">who is said to have lived around the time after the fall of the Yarlung dynasty</span>. <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">Bod kyi gdung rus zhib 'jug notes that the Ling clan split off from the ancestral Dong clan. The Lingmo then must have split off from the Ling. </span><span class=""biog-name-large"">The First Lingtrul, <a href=""/biographies/view/Dondrub-Gyatso/TBRC_P5537"">Dondrub Gyatso</a> </span><span class=""biog-date-small"">was born into the Lingmo clan in 1702.</span><span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;""> </span></p>",,8069
Lingtsang,TOL71,gling tshang,གླིང་ཚང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan in Derge, Kham. The First Lingla, <a href=""/biographies/view/Sonam-Jinpa/TBRC_P8701"">Sonam Jinpa</a> was born to the Ling or Lingtsang family in Dzagyud Troshul (rdza rgyud khro shul) in Kham around the year 1767. The Ling clan is that of Ling Gesar Gyelpo, the mythical Tibetan hero who is said to have lived around the time after the fall of the Yarlung dynasty, seemingly in the 11th century. Bod kyi gdung rus zhib 'jug notes that the Ling clan split off from the ancestral Dong clan. The book also notes that the text The Red Ruby (pad ma rwa ga) locates Ling Gesar's birthplace, the land of Ling, in between the two rivers Drichu and Dzachu in eastern Tibet near Khongtsa (khongs tsha) Monastery in Denkhok, Derge.</p>",C2CN11016,
Lomi,TOL77,lo mi,ལོ་མི།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Lomi clan includes among its members <a href=""/biographies/view/Rokam-Nyima-Sherab/TBRC_P2470"">Rokam Nyima Sherab</a>, who was born in 1139 in Lakyi Pulung Nyangkhang of U.</p>",C11MS199,4175; 6578
Lonang,TOL148,lo nang,ལོ་ནང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A branch of the Chungpa clan. In the 12th century, <a href=""/biographies/view/Lorepa-Wangchuk-Tsondru/TBRC_P4252"">Lorepa Wangchuk Tsondru</a> was born into the Lonang branch in the Ngamsho (ngam shod) region of Tibet.</p>",,6671
Ma,TOL171,rma,རྨ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ma clan came into existence during Tibet's Yarlung dynasty. <a href=""/biographies/view/Ma-Rinchen-Chok/TBRC_P2JM5"">Ma Rinchen Chok</a>, one of the first seven Tibetans to ordain in the 8th century, was from this clan.</p>",,5234
Me,TOL629,me,མེ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	<a href=""/biographies/view/Yorpo-Mepel/TBRC_P3AG6"">Yorpo Mepel</a> in the 12th century was born into the Me clan in the Yorpo (g.yor po) region of Lhokha, southern Tibet.</p>",C11MS201,13090
Menge,TOL56,man dge,མན་དགེ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Menge clan was based in Kham. <a href=""/biographies/view/Jigme-Gyelwai-Nyugu/TBRC_p695"">Jigme Gyelwai Nyugu</a> was born into this clan.</p>",,9579
Meu,TOL628,rme'u,རྨེའུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Me'u clan originated from the ministers of Nubyul, the land of the Nub, one of the 12 kingdoms during Tibet's pre-imperial age in what would be the present-day Rinpung area in west-central Tibet. Beginning in the 11<sup>th</sup> century, the Meu clan would become associated with Bon religion when Meu Gongdzo received instruction from eminent Bonpos of the Shu and Dru families. At that time, the Meu house was located in Nyemo, west of Lhasa. The monastery of <a href=""/geographies/view/Zangri/TBRC_G3536"">Zangri</a> was established there, existing until 1959, and sometime after being reduced to ruins. Though the original is no longer standing, Meu descendents have built a new house and monastery in a nearby valley.</p>",C11MS209,12096; 13079
Mu,TOL667,rmu,རྨུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Also smu and dmu. <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">One of the four original Tibetan ancestral clans. The Mu ancestral clan claims Muje Kolpo (rmu rje kol po) as a common ancestor. According to bshad mdzod chen mo, Mu has eight sub-clans: ngam, snubs, gzhung, 'gar or mgar, dkar, smon, snyos or gnyos, ngan lam. According to The Treasure of the Ancestral Clans of Tibet, based on the Golok Rudzod, the Mu clan is also known by different names, such as dmu tsha sga, thang le sga, rmu, dmu and sga. They were said to hold the three vast plains of Kham Yarmotang, the Jang Karmotang and Tsongkha Lakyitang of Amdo. The Ga includes nine separate sub-clans: including Adro/ sga a gro, Arik/ sga arik, Adruk/ sga a &lsquo;brug, Atrom/a khrom and Ashing/ sga shing, established by the nine separate children of dmu tsha sga. Bodkyi Gdungrus Zhib'jug notes that Nyatri Tsenpo's queen Mutsoza was from the Mu clan. </span></p>",C11MS138,
Mukpo,TOL630,smug po ldong,སྨུག་པོ་ལྡོང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Mukpo or Mukpo Dong is one of four branches of the ancient Dong clan. The Mukpo claim decent from Gesar of Ling.  Mukpo descendents are particularly associated with the Kham region.</p>",C11MS133,4425; 4676; 9355; 9588; 11231
Naktso,TOL579,nag tsho,ནག་ཚོ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan in Tibet that was around at least by the time following the fall of the Pugyel dynasty. <a href=""/biographies/view/Naktso-Lotsāwa-Tsultrim-Gyelwa/TBRC_P3456"">Naktso Lotsāwa Tsultrim Gyelwa</a> of Naktso clan was born in 1011 in a place called Lhadong (lha gdong) in Ngari Zongga (mgna ris rdzong dga).</p>",,5801
Namseling,TOL582,rnam sras gling,རྣམ་སྲས་གླིང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Namseling family was based at <a href=""/geographies/view/Monkhar-Namseling/TBRC_G2813"">Monkhar Namseling</a> in Dranang, seat of the Namseling Zhamar incarnation line. The Namseling family oversaw a large estate with monastery of the same name located opposite <a href=""/geographies/view/Samye/TBRC_G287"">Samye</a> on the south bank of the Tsangpo river. Known for its extensive library, the Namseling manor is one of a few houses of its kind remaining in Tibet, with reconstruction and rehabilitation an ongoing process.  Both the <a href=""/biographies/view/Fourth-Dorje-Drak-Rigdzin/TBRC_P657"">Fourth Dorje Drak Rigdzin</a> and the <a href=""/biographies/view/Seventh-Dorje-Drak-Rigdzin/TBRC_P8LS12706"">Seventh Dorje Drak Rigdzin</a> were born into the family. The family also resided at the <a href=""/geographies/view/Namseling-Manor-House/TBRC_TOL849"">Namseling Manor House</a> in the center of Lhasa. </p>",C11MS210,9169; 13190
Nanam,TOL163,sna nam,སྣ་ནམ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	King Trisong Detsen's mother, Mangmoje Shiteng, was from the Nanam clan. Bod kyi gdung rus zhib 'jug notes that the Nanam clan originated during the time of the Yarlung dynasty. <a href=""/biographies/view/Nanam-Dorje-Dudjom/TBRC_P0RK1005"">Nanam Dorje Dudjom</a> was born into the Nanam clan in Tsangrong in the eighth century.</p>",,303; 3182; 10904
Ngen,TOL152,rngan,རྔན།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ngen clan's most prominent member was <span class=""biog-name-large""><a href=""/biographies/view/Parpuwa-Lodro-Sengge/TBRC_P3785"">Parpuwa Lodro Sengge</a>, born in the </span><span class=""biog-date-small"">12th century in central Tibet.</span></p>",C11MS211,6159
Ngenlam,TOL57,ngan lam,ངན་ལམ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ngenlam clan originated in the Ngenlam region in Uru Penyul Valley, north of Lhasa. Among its early sons were <a href=""/biographies/view/Takdra-Lukong/TBRC_P10MS16952"">Takdra Lukong</a>, who served the Tibetan empire in the eighth century, and <a href=""/biographies/view/Gyelwa-Chokyang/TBRC_P2JM167"">Gyelwa Chokyang</a>, a disciple of <a href=""/biographies/view/Padmasambhava/TBRC_P4956"">Padmasambhava</a> and one of the first seven Tibetans to ordain.</p>",,4903; 13198
Ngoje,TOL714,ngor rje,ངོར་རྗེ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ngoje clan </p>",,2606
Ngok,TOL66,rngog,རྔོག།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ngok clan is said to have originated during the time of the Pugyel dynasty's 36th king, Dusong Mangpo Je. The Ngok clan, which associated with the Kadampa lineage, founded <a href=""/geographies/view/Sangpu/TBRC_G226"">Sangpu Neutok</a> Monastery. It was <a href=""/biographies/view/Ngok-Lekpei-Sherab/TBRC_P3389"">Ngok Lekpei Sherab</a> who founded the monastery in 1072 and his nephew <a href=""/biographies/view/Ngok-Lotsāwa-Loden-Sherab/TBRC_P2551"">Ngok Lotsāwa Loden Sherab</a> who developed it.</p>",C11MS119,3773; 4261; 5728; 5789; 11471; 13061
Ngulchu,TOL634,dngul chu,དངུལ་ཆུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ngulchu clan claims as members <a href=""/biographies/view/Ngulchu-Dharmabhadra/TBRC_P289"">Ngulchu Dharmabhadra</a> and his nephew <a href=""/biographies/view/Yangchen-Drupai-Dorje/TBRC_P268"">Yangchen Drupai Dorje</a> who were both born in Tsang Yeru to the Ngulchu clan in the late eighteenth and early nineteenth centuries.</p>",C11MS183,4402
Ngupa,TOL680,rngu pa,རྔུ་པ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Ngupa clan is presumably of Kham, where member <a href=""/biographies/view/Jampa-Bum/TBRC_P1492"">Jampa Bum</a> was born in the twelfth century.</p>",C11MS213,2781
Nub,TOL49,gnubs,གནུབས།,,,snubs,"
སྣུབས།",4,clan,rigs,རིགས།,氏族,,,,,"<p>
	In pre-imperial times, there were said to be twelve kingdoms, one of which was Nubyul, controlled by the Nub family, in present-day Rinpung. <a href=""/biographies/view/Namkhai-Nyingpo/TBRC_P7743"">Namkhai Nyingpo</a>, one of the first seven Tibetans to be ordained by Śāntarakṣita, as well as <span class=""biog-name-large""><a href=""/biographies/view/Nubchen-Sanggye-Yeshe/TBRC_P2885"">Nubchen Sanggye Yeshe</a>, are among the illustrious members of the clan. </span></p>",,1108; 2798; 2799; 4626; 6749; 8460; 9688; 10083; 11299; 12553; 13241
Nya,TOL1090,gnya',གཉའ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Nya family originated with <a href=""/biographies/view/Nyawa-Chozang/TBRC_P4997"">Nyawa Chozang</a>, one of the nine learned physicians who served in the imperial court during the time of <a href=""/biographies/view/Tri-Songdetsen/TBRC_P7787"">Tri Songdetsen</a>. Nyawa Chozang was originally from eastern Tibet. He travelled to U, and then onward to India upon the emperor's orders. Studying medicine with Indian masters, among them apparently <a href=""/biographies/view/Padmasambhava/TBRC_P4956"">Padmasambhava</a>, he returned to court and acted as the personal physician to Tri Songdetsen. The Lhunding tradition of medicine of the Jangluk (Northern School) is said to descend from Nyawa Chozang. </p>",C1KT11,6567; 6568
Nyak,TOL168,gnyags,གཉགས།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	A clan from the time of Tibet's Yarlung or Pugyel dynasty. King Nyatri Tsenpo's minister was from the Nyak clan. <a href=""/biographies/view/Nyak-Jñānakumara/TBRC_P6525"">Nyak J&ntilde;ānakumara</a>, also known as Yeshe Zhonnu, was born into this clan  in Po ('phos), Yarlung, in the mid eighth century.</p>",,5078
Nyakre,TOL946,nyag ras,ཉག་རས།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Nyakre clan, likely native to Kham, includes <a href=""/biographies/view/Drubtob-Nyakre-Sewo/TBRC_P1AG13"">Drubtob Nyakre Sewo</a>, the twelfth century disciple of <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a> and <a href=""/biographies/view/Jigden-Gonpo-Rinchen-Pel/TBRC_P16"">Jikden Gonpo Rinchen Pel</a>. </p>",,13440
Nyakshul,TOL635,nyag shul,ཉག་ཤུལ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	The Nyakshul clan was known as a warrior clan in their region of Kham. Nyakshul Khenpo <a href=""/biographies/view/Gyurme-Osel/TBRC_P2JM359"">Gyurme Osel</a> was born to this clan in a nomadic community in Kham around the year 1890.</p>",C11MS202,5078
Nyang,TOL169,myang,མྱང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	Also spelled nyang. In pre-imperial times, there were said to be 12 kingdoms or principalities. One of these was controlled by the Nyang clan. The clan lived in the Nyangtri (nyang khri) or Nyingtri (nying khri) area and took on the name of the area. The river was also called the Nyang river. Even during Tibet's imperial age, this illustrious clan remained powerful. Although <a href=""/biographies/view/Nyang-Tingdzin-Zangpo/TBRC_P3827"">Nyang Tingdzin Zangpo</a> was one of Vimalamitra's closest disciples, the Nyang family was on the losing side during the so-called Samye Debate in the 8th century, siding with the Chinese religionists, whereas their more powerful rival, the Ba (sba / 'ba' / dba) family, supported the Indian Buddhists. King Tride Songtsen's home minister Nyang Trizang Legdruk (myang khri bzang legs drug) and foreign minister Nyang Lektsen (myang legs btsan) were both from the Nyang clan. Nyangrel Nyima Ozer was also from this clan.</p>",C11MS130,5999; 6205; 6856; 10301
